,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Tiger,1,1,100,8,1.0,0.6707953063885267,3341.1301007270813
1,Tiger,1,2,100,8,1.0,0.8699430199430199,3445.103353738785
2,Tiger,1,3,100,8,1.0,0.8614583333333333,3199.381089448929
3,Tiger,1,4,100,8,1.0,0.9710144927536233,3197.042776823044
4,Tiger,1,5,100,8,1.0,0.7032167832167833,2946.6521697044373
5,Tiger,1,6,100,8,1.0,0.6898148148148149,2945.99836397171
6,Tiger,1,7,100,8,1.0,0.81781045751634,3027.448132276535
7,Tiger,1,8,100,8,1.0,0.9594110115236876,3155.4455239772797
8,Tiger,1,9,100,8,1.0,0.7164179104477613,3306.211346387863
9,Tiger,1,10,100,8,1.0,0.881578947368421,3061.999179124832
10,Tiger,2,1,100,8,1.0,0.7828054298642534,2959.9615049362183
11,Tiger,2,2,100,8,1.0,0.9191304347826086,2866.610430955887
12,Tiger,2,3,100,8,1.0,0.7767195767195768,3101.776169538498
13,Tiger,2,4,100,8,1.0,0.9798136645962734,3381.3645584583282
14,Tiger,2,5,100,8,1.0,0.6898656898656899,3457.979785680771
15,Tiger,2,6,100,8,1.0,0.7466224514861213,3291.764743566513
16,Tiger,2,7,100,8,1.0,0.8055555555555556,2974.7172994613647
17,Tiger,2,8,100,8,1.0,0.8704044117647058,3154.751813650131
18,Tiger,2,9,100,8,1.0,0.7413265306122448,3246.05344581604
19,Tiger,2,10,100,8,1.0,0.7629648368327853,3538.8146228790283
20,Tiger,3,1,100,8,1.0,0.9364145658263305,3095.07728767395
21,Tiger,3,2,100,8,1.0,0.7424715909090909,3243.2632563114166
22,Tiger,3,3,100,8,1.0,0.7213114754098361,3071.611543893814
23,Tiger,3,4,100,8,1.0,0.7109375,3426.3139872550964
24,Tiger,3,5,100,8,1.0,0.9003267973856209,3244.080714702606
25,Tiger,3,6,100,8,1.0,0.8441427853192559,3308.3192131519318
26,Tiger,3,7,100,8,1.0,0.7531114718614719,3396.9756605625153
27,Tiger,3,8,100,8,1.0,0.8430769230769231,3106.3201246261597
28,Tiger,3,9,100,8,1.0,0.7374074074074075,3229.1434750556946
29,Tiger,3,10,100,8,1.0,0.8547567175018156,3257.232894420624
30,Tiger,4,1,100,8,1.0,0.6906870638754696,2956.010525226593
31,Tiger,4,2,100,8,1.0,0.7222362762458893,3318.674565076828
32,Tiger,4,3,100,8,1.0,0.8855698529411764,3231.143294095993
33,Tiger,4,4,100,8,1.0,0.7959183673469388,2735.215606689453
34,Tiger,4,5,100,8,1.0,0.7101545842217484,2907.795168876648
35,Tiger,4,6,100,8,1.0,0.9506629663891458,3122.341351032257
36,Tiger,4,7,100,8,1.0,0.8678315412186379,3332.709546327591
37,Tiger,4,8,100,8,1.0,0.8049502286790422,3164.0291044712067
38,Tiger,4,9,100,8,1.0,0.7927272727272728,3120.69673371315
39,Tiger,4,10,100,8,1.0,0.8788400803904679,3349.306211709976
40,Tiger,5,1,100,8,1.0,0.9816993464052288,3118.7374737262726
41,Tiger,5,2,100,8,1.0,0.8584489281210592,2987.0587255954742
42,Tiger,5,3,100,8,1.0,0.6197632058287795,3251.1905496120453
43,Tiger,5,4,100,8,1.0,0.8819612590799032,3112.4600212574005
44,Tiger,5,5,100,8,1.0,0.7919484702093398,3167.209483861923
45,Tiger,5,6,100,8,1.0,0.8688670829616415,3290.3788754940033
46,Tiger,5,7,100,8,1.0,0.5475073313782991,2859.839303255081
47,Tiger,5,8,100,8,1.0,0.8525252525252526,3135.2699298858643
48,Tiger,5,9,100,8,1.0,0.9104477611940298,3287.2582182884216
49,Tiger,5,10,100,8,1.0,0.8345205479452055,3351.957625389099
