,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Web1,1,1,100,12,1.0,0.8717557251908397,716.1776554584503
1,Web1,1,2,100,12,1.0,0.8912578616352201,807.7171931266785
2,Web1,1,3,100,12,1.0,0.8549401501318726,870.3612885475159
3,Web1,1,4,100,12,1.0,0.9736313410346559,820.4191887378693
4,Web1,1,5,100,12,1.0,0.8773637374860956,743.6037456989288
5,Web1,1,6,100,12,1.0,1.0,751.7250583171844
6,Web1,1,7,100,12,1.0,0.5795962606692859,879.2095830440521
7,Web1,1,8,100,12,1.0,0.6804621848739496,862.4410755634308
8,Web1,1,9,100,12,1.0,0.5248811645870469,792.2696435451508
9,Web1,1,10,100,12,1.0,0.6658781785925488,811.6848614215851
10,Web1,2,1,100,12,1.0,0.8149167813790514,696.509708404541
11,Web1,2,2,100,12,1.0,0.7824074074074074,850.319445848465
12,Web1,2,3,100,12,1.0,0.5957446808510638,828.8572580814362
13,Web1,2,4,100,12,1.0,0.7,721.5641736984253
14,Web1,2,5,100,12,1.0,0.303405572755418,733.7495737075806
15,Web1,2,6,100,12,1.0,0.9467609828741623,859.4882102012634
16,Web1,2,7,100,12,1.0,0.8141025641025641,772.7714877128601
17,Web1,2,8,100,12,1.0,0.86926461345066,838.6904575824738
18,Web1,2,9,100,12,1.0,0.43646408839779005,901.468124628067
19,Web1,2,10,100,12,1.0,0.7041522491349481,912.7183992862701
20,Web1,3,1,100,12,1.0,0.756031746031746,722.4884943962097
21,Web1,3,2,100,12,1.0,1.0,755.6147861480713
22,Web1,3,3,100,12,1.0,0.8628226870171471,801.5116519927979
23,Web1,3,4,100,12,1.0,0.5347507593353582,702.8344330787659
24,Web1,3,5,100,12,1.0,0.8729651162790697,780.1257586479187
25,Web1,3,6,100,12,1.0,0.4233576642335766,777.9111859798431
26,Web1,3,7,100,12,1.0,0.952020202020202,815.3138530254364
27,Web1,3,8,100,12,1.0,0.4586666666666666,820.2671570777893
28,Web1,3,9,100,12,1.0,1.0,980.1104073524475
29,Web1,3,10,100,12,1.0,0.14957264957264957,811.6955764293671
30,Web1,4,1,100,12,1.0,0.5824175824175825,702.2011840343475
31,Web1,4,2,100,12,1.0,0.7273089171974523,796.4441423416138
32,Web1,4,3,100,12,1.0,1.0,803.7910356521606
33,Web1,4,4,100,12,1.0,0.2829475956349682,746.1141180992126
34,Web1,4,5,100,12,1.0,0.8978408636545382,780.4677085876465
35,Web1,4,6,100,12,1.0,1.0,825.4058260917664
36,Web1,4,7,100,12,1.0,1.0,888.0407037734985
37,Web1,4,8,100,12,1.0,0.6603618421052632,816.660368680954
38,Web1,4,9,100,12,1.0,0.5692038640906063,766.8858139514923
39,Web1,4,10,100,12,1.0,0.9058928571428572,815.5641522407532
40,Web1,5,1,100,12,1.0,0.9856674856674856,724.3588733673096
41,Web1,5,2,100,12,1.0,0.7650240384615384,788.2982511520386
42,Web1,5,3,100,12,1.0,0.5531496062992126,912.9632411003113
43,Web1,5,4,100,12,1.0,0.0,964.2504782676697
44,Web1,5,5,100,12,1.0,0.8106763925729443,889.1708495616913
45,Web1,5,6,100,12,1.0,1.0,777.419816493988
46,Web1,5,7,100,12,1.0,0.38360071301247767,783.348171710968
47,Web1,5,8,100,12,1.0,0.44285714285714284,900.5865733623505
48,Web1,5,9,100,12,1.0,0.6556603773584906,774.2011864185333
49,Web1,5,10,100,12,1.0,0.9527186761229315,929.9185562133789
