,dataset,rep,fold,best_size,best_depth,auc,time
0,CorelDinosaurs,1,1,50,4,0.8655995731625984,10364.989921092987
1,CorelDinosaurs,1,2,50,4,0.8818256967406707,10264.396317005157
2,CorelDinosaurs,1,3,50,4,0.8784267345948568,10185.126034736633
3,CorelDinosaurs,1,4,50,4,0.7425805047867712,9300.664028644562
4,CorelDinosaurs,1,5,50,4,0.8836682185738791,10109.123984575272
5,CorelDinosaurs,1,6,50,4,0.9526864907125334,9969.78616476059
6,CorelDinosaurs,1,7,50,4,0.8813067784765899,9988.055514335632
7,CorelDinosaurs,1,8,50,4,0.8352485866751201,9965.323541641235
8,CorelDinosaurs,1,9,50,4,0.8932888327620423,10476.758947849274
9,CorelDinosaurs,1,10,50,4,0.7769599452242384,9871.89076924324
10,CorelDinosaurs,2,1,50,4,0.7634710743801653,9475.44219994545
11,CorelDinosaurs,2,2,50,4,0.8498127511874315,9537.445148468018
12,CorelDinosaurs,2,3,50,4,0.8575912449308372,10256.898696660995
13,CorelDinosaurs,2,4,50,4,0.7622572685334191,9973.492390155792
14,CorelDinosaurs,2,5,50,4,0.9444481597895629,10185.70442032814
15,CorelDinosaurs,2,6,50,4,0.8847054886211513,9665.076013565063
16,CorelDinosaurs,2,7,50,4,0.6617647058823528,9669.690526485443
17,CorelDinosaurs,2,8,50,4,0.8572373564255216,9646.528472185135
18,CorelDinosaurs,2,9,50,4,0.9112441088260497,10132.981585741043
19,CorelDinosaurs,2,10,50,4,0.8986864771748492,10168.323009967804
20,CorelDinosaurs,3,1,50,4,0.784012104400454,10122.711258172989
21,CorelDinosaurs,3,2,50,4,0.7520599148750409,9985.70436501503
22,CorelDinosaurs,3,3,50,4,0.9077199185685204,10234.541297674179
23,CorelDinosaurs,3,4,50,4,0.8816840190033357,9879.471513986588
24,CorelDinosaurs,3,5,50,4,0.8253593890386344,10253.456984758377
25,CorelDinosaurs,3,6,50,4,0.9727999031594239,9577.992027044296
26,CorelDinosaurs,3,7,50,4,0.9723683145885589,10511.961059093475
27,CorelDinosaurs,3,8,50,4,0.8802314814814814,10496.359710216522
28,CorelDinosaurs,3,9,50,4,0.9097084029823025,9851.884010076523
29,CorelDinosaurs,3,10,50,4,0.9114452390832092,10085.34649014473
30,CorelDinosaurs,4,1,50,4,0.8463042061825816,10381.019739627838
31,CorelDinosaurs,4,2,50,4,0.7098172987974098,9818.143228292465
32,CorelDinosaurs,4,3,50,4,0.750141536138894,10164.184914588928
33,CorelDinosaurs,4,4,50,4,0.9596344021576266,10300.604202270508
34,CorelDinosaurs,4,5,50,4,0.9291052018633541,10525.006655216217
35,CorelDinosaurs,4,6,50,4,0.831910363437052,10265.80887389183
36,CorelDinosaurs,4,7,50,4,0.8297700418587399,10274.259853363037
37,CorelDinosaurs,4,8,50,4,0.9001317523056653,9975.934245347977
38,CorelDinosaurs,4,9,50,4,0.8731107722761683,9817.353833675385
39,CorelDinosaurs,4,10,50,4,0.9690352257595932,10204.341338634491
40,CorelDinosaurs,5,1,50,4,0.8684255138800593,10277.540095567703
41,CorelDinosaurs,5,2,50,4,0.8234250221827862,10351.189857959747
42,CorelDinosaurs,5,3,50,4,0.6928222720675551,9789.194163560867
43,CorelDinosaurs,5,4,50,4,0.987467349809122,9849.584659099579
44,CorelDinosaurs,5,5,50,4,0.9428405952062728,10115.66503572464
45,CorelDinosaurs,5,6,50,4,0.8283280159060433,9895.277734279633
46,CorelDinosaurs,5,7,50,4,0.8665422152354753,10260.916929006577
47,CorelDinosaurs,5,8,50,4,0.7621042216358839,9902.963008880615
48,CorelDinosaurs,5,9,50,4,0.802247882125982,9738.293225288391
49,CorelDinosaurs,5,10,50,4,0.8779252807220066,9767.324096918106
