,dataset,rep,fold,best_size,best_depth,auc,time
0,Musk1,1,1,50,4,1.0,1268.2499232292175
1,Musk1,1,2,50,4,0.9393939393939393,1268.7253003120422
2,Musk1,1,3,50,4,0.8500000000000001,1131.3854360580444
3,Musk1,1,4,50,4,0.8181818181818181,1072.6371653079987
4,Musk1,1,5,50,4,1.0,1193.1448364257812
5,Musk1,1,6,50,4,1.0,1184.8071348667145
6,Musk1,1,7,50,4,0.8947368421052632,1158.7089591026306
7,Musk1,1,8,50,4,0.9515151515151515,1159.8106575012207
8,Musk1,1,9,50,4,0.9545454545454545,1082.8657977581024
9,Musk1,1,10,50,4,1.0,1201.718904018402
10,Musk1,2,1,50,4,1.0,1172.0133934020996
11,Musk1,2,2,50,4,0.9211822660098522,1097.9455301761627
12,Musk1,2,3,50,4,1.0,1161.721521615982
13,Musk1,2,4,50,4,0.974481658692185,1136.8993287086487
14,Musk1,2,5,50,4,0.9855072463768116,1125.1106495857239
15,Musk1,2,6,50,4,0.9600000000000001,1132.3734302520752
16,Musk1,2,7,50,4,1.0,1140.3874080181122
17,Musk1,2,8,50,4,0.9464882943143813,1213.4321703910828
18,Musk1,2,9,50,4,1.0,1165.435287475586
19,Musk1,2,10,50,4,1.0,1123.5257079601288
20,Musk1,3,1,50,4,0.8716577540106952,1178.4428119659424
21,Musk1,3,2,50,4,1.0,1189.4939649105072
22,Musk1,3,3,50,4,1.0,1144.3826653957367
23,Musk1,3,4,50,4,1.0,1181.6288056373596
24,Musk1,3,5,50,4,0.8038277511961722,1071.0187554359436
25,Musk1,3,6,50,4,1.0,1250.5792038440704
26,Musk1,3,7,50,4,1.0,1121.5069575309753
27,Musk1,3,8,50,4,0.9248120300751879,1218.9810466766357
28,Musk1,3,9,50,4,1.0,1184.7711555957794
29,Musk1,3,10,50,4,1.0,1145.095332145691
30,Musk1,4,1,50,4,0.9875,1019.224734544754
31,Musk1,4,2,50,4,0.8823529411764706,1194.010615348816
32,Musk1,4,3,50,4,0.9142857142857143,1136.3686814308167
33,Musk1,4,4,50,4,1.0,1197.9772672653198
34,Musk1,4,5,50,4,1.0,1145.960562467575
35,Musk1,4,6,50,4,1.0,1285.8041441440582
36,Musk1,4,7,50,4,1.0,1221.0844712257385
37,Musk1,4,8,50,4,1.0,1169.7593669891357
38,Musk1,4,9,50,4,1.0,1206.2006895542145
39,Musk1,4,10,50,4,0.8461538461538461,1222.4303476810455
40,Musk1,5,1,50,4,1.0,975.4104933738708
41,Musk1,5,2,50,4,0.9761904761904762,1148.3568551540375
42,Musk1,5,3,50,4,1.0,1226.2188551425934
43,Musk1,5,4,50,4,1.0,1212.9547657966614
44,Musk1,5,5,50,4,0.8260869565217391,1062.9773638248444
45,Musk1,5,6,50,4,0.921875,1172.9548461437225
46,Musk1,5,7,50,4,0.96,1130.2191994190216
47,Musk1,5,8,50,4,1.0,1245.1167662143707
48,Musk1,5,9,50,4,1.0,1200.361072063446
49,Musk1,5,10,50,4,1.0,1160.4560141563416
