,dataset,rep,fold,best_size,best_depth,auc,time
0,Newsgroups6,1,1,100,4,0.6389771017884005,1216.181876897812
1,Newsgroups6,1,2,100,4,0.7318773946360153,1130.0654940605164
2,Newsgroups6,1,3,100,4,0.9334453781512605,1148.1680529117584
3,Newsgroups6,1,4,100,4,1.0,1157.17032289505
4,Newsgroups6,1,5,100,4,0.8380952380952381,902.869081735611
5,Newsgroups6,1,6,100,4,0.9888306138306138,953.1416540145874
6,Newsgroups6,1,7,100,4,0.6718522119591638,844.7573890686035
7,Newsgroups6,1,8,100,4,1.0,916.2637135982513
8,Newsgroups6,1,9,100,4,0.35628815628815635,857.3252124786377
9,Newsgroups6,1,10,100,4,1.0,893.0197970867157
10,Newsgroups6,2,1,100,4,0.8234567901234567,873.3164081573486
11,Newsgroups6,2,2,100,4,0.886128364389234,864.0107352733612
12,Newsgroups6,2,3,100,4,0.7267080745341614,860.0239934921265
13,Newsgroups6,2,4,100,4,0.7471916010498688,874.1785366535187
14,Newsgroups6,2,5,100,4,1.0,927.2987203598022
15,Newsgroups6,2,6,100,4,0.46717393425031706,935.9641208648682
16,Newsgroups6,2,7,100,4,0.9635361371988567,904.0625379085541
17,Newsgroups6,2,8,100,4,0.9678608883927061,879.8457307815552
18,Newsgroups6,2,9,100,4,0.9768191451783822,894.1761863231659
19,Newsgroups6,2,10,100,4,0.9312530237058539,946.3385891914368
20,Newsgroups6,3,1,100,4,0.9272506693440428,859.7987704277039
21,Newsgroups6,3,2,100,4,0.908193668528864,894.9490633010864
22,Newsgroups6,3,3,100,4,0.676989247311828,872.8841280937195
23,Newsgroups6,3,4,100,4,0.8965827338129496,867.8374781608582
24,Newsgroups6,3,5,100,4,0.9603202227636616,895.297886133194
25,Newsgroups6,3,6,100,4,0.8661297852474322,859.5858266353607
26,Newsgroups6,3,7,100,4,0.8410823170731707,954.5440640449524
27,Newsgroups6,3,8,100,4,0.6204819277108433,1234.6085278987885
28,Newsgroups6,3,9,100,4,0.9103326034824314,1250.2100806236267
29,Newsgroups6,3,10,100,4,0.8289992119779354,941.630763053894
30,Newsgroups6,4,1,100,4,1.0,869.5041165351868
31,Newsgroups6,4,2,100,4,0.7455748746867168,874.576337814331
32,Newsgroups6,4,3,100,4,0.8902232084584257,997.6929287910461
33,Newsgroups6,4,4,100,4,0.8314088793412102,885.2418811321259
34,Newsgroups6,4,5,100,4,0.8821947283485745,865.5985579490662
35,Newsgroups6,4,6,100,4,0.6080234188175146,881.000020980835
36,Newsgroups6,4,7,100,4,0.991027323247916,909.0254871845245
37,Newsgroups6,4,8,100,4,1.0,907.9345707893372
38,Newsgroups6,4,9,100,4,0.8332176327664005,888.968670129776
39,Newsgroups6,4,10,100,4,0.8932489451476793,889.9105558395386
40,Newsgroups6,5,1,100,4,0.9884643114635905,930.2214705944061
41,Newsgroups6,5,2,100,4,0.9007066052227343,918.8882968425751
42,Newsgroups6,5,3,100,4,0.7977607334920215,950.4043238162994
43,Newsgroups6,5,4,100,4,0.5385220125786163,1018.8791425228119
44,Newsgroups6,5,5,100,4,0.7833633405982502,878.7557413578033
45,Newsgroups6,5,6,100,4,0.6320346320346321,865.6372742652893
46,Newsgroups6,5,7,100,4,0.7224015009380863,883.1505739688873
47,Newsgroups6,5,8,100,4,0.9999999999999999,906.7586345672607
48,Newsgroups6,5,9,100,4,0.9826935588809369,890.5564723014832
49,Newsgroups6,5,10,100,4,0.970491202346041,924.4685699939728
