,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Web6,1,1,75,4,1.0,0.11638159054840416,400.268328666687
1,Web6,1,2,75,4,1.0,0.3099315068493151,421.7788498401642
2,Web6,1,3,75,4,1.0,0.5031196213425129,331.7152452468872
3,Web6,1,4,75,4,1.0,1.0,481.54221057891846
4,Web6,1,5,75,4,1.0,0.47657142857142853,439.70099210739136
5,Web6,1,6,75,4,1.0,1.0,421.8884072303772
6,Web6,1,7,75,4,1.0,1.0,415.0216631889343
7,Web6,1,8,75,4,1.0,1.0,414.94005036354065
8,Web6,1,9,75,4,1.0,0.10126582278481013,429.64487886428833
9,Web6,1,10,75,4,1.0,0.48738410092719253,426.7319960594177
10,Web6,2,1,75,4,1.0,0.2782463538921104,468.71918869018555
11,Web6,2,2,75,4,1.0,0.6631205673758865,429.7332434654236
12,Web6,2,3,75,4,1.0,0.11742424242424243,397.5079710483551
13,Web6,2,4,75,4,1.0,0.7100081699346406,468.15882754325867
14,Web6,2,5,75,4,1.0,0.20153920153920152,296.436705827713
15,Web6,2,6,75,4,1.0,0.9148936170212766,418.764564037323
16,Web6,2,7,75,4,1.0,1.0,415.8561952114105
17,Web6,2,8,75,4,1.0,0.2732919254658385,415.54848980903625
18,Web6,2,9,75,4,1.0,1.0,472.248731136322
19,Web6,2,10,75,4,1.0,0.7636986301369864,480.8192548751831
20,Web6,3,1,75,4,1.0,0.3854895104895105,471.69827818870544
21,Web6,3,2,75,4,1.0,0.022105346409364117,392.8681197166443
22,Web6,3,3,75,4,1.0,0.9111201298701299,369.2099039554596
23,Web6,3,4,75,4,1.0,0.627625952779327,435.8501410484314
24,Web6,3,5,75,4,1.0,1.0,421.2901952266693
25,Web6,3,6,75,4,1.0,0.659217877094972,458.2291257381439
26,Web6,3,7,75,4,1.0,0.35258964143426297,378.1890449523926
27,Web6,3,8,75,4,1.0,0.32098765432098764,448.9158833026886
28,Web6,3,9,75,4,1.0,1.0,445.92507767677307
29,Web6,3,10,75,4,1.0,0.5276595744680852,352.5861437320709
30,Web6,4,1,75,4,1.0,0.992723848656052,437.285927772522
31,Web6,4,2,75,4,1.0,0.3881401617250674,453.0405979156494
32,Web6,4,3,75,4,1.0,0.4087468460891506,394.10754323005676
33,Web6,4,4,75,4,1.0,0.7515099223468508,415.3678240776062
34,Web6,4,5,75,4,1.0,0.10648148148148148,310.6907424926758
35,Web6,4,6,75,4,1.0,0.9169435215946844,435.56736040115356
36,Web6,4,7,75,4,1.0,0.6209150326797386,420.5395669937134
37,Web6,4,8,75,4,1.0,0.8964497041420119,406.1336817741394
38,Web6,4,9,75,4,1.0,0.75,431.63400864601135
39,Web6,4,10,75,4,1.0,1.0,453.70761728286743
40,Web6,5,1,75,4,1.0,0.1441269841269841,294.7128834724426
41,Web6,5,2,75,4,1.0,0.4647556390977443,415.67113304138184
42,Web6,5,3,75,4,1.0,0.4666666666666667,403.4620816707611
43,Web6,5,4,75,4,1.0,0.4260216203373723,406.8350737094879
44,Web6,5,5,75,4,1.0,0.8357570573139436,460.8031852245331
45,Web6,5,6,75,4,1.0,1.0,467.6141495704651
46,Web6,5,7,75,4,1.0,0.3709677419354839,461.21972584724426
47,Web6,5,8,75,4,1.0,0.04716981132075472,376.1850028038025
48,Web6,5,9,75,4,1.0,0.9277777777777778,446.31933546066284
49,Web6,5,10,75,4,1.0,0.5044296788482835,484.7938914299011
50,Web1,1,1,75,10,1.0,0.5564483728404982,654.9734678268433
51,Web1,1,2,75,10,1.0,0.9583018867924528,640.8361291885376
52,Web1,1,3,75,10,1.0,0.8387096774193549,667.5502457618713
53,Web1,1,4,75,10,1.0,0.9433073832245102,626.2933008670807
54,Web1,1,5,75,10,1.0,0.9094827586206896,617.8868000507355
55,Web1,1,6,75,10,1.0,1.0,648.7508387565613
56,Web1,1,7,75,10,1.0,0.5795962606692859,623.541220664978
57,Web1,1,8,75,10,1.0,0.6804621848739496,713.2411522865295
58,Web1,1,9,75,10,1.0,0.19362745098039216,628.8236367702484
59,Web1,1,10,75,10,1.0,0.5647545830869308,692.7547216415405
60,Web1,2,1,75,10,1.0,0.8087848829933675,605.5378501415253
61,Web1,2,2,75,10,1.0,0.8842592592592593,646.68235039711
62,Web1,2,3,75,10,1.0,0.39361702127659576,667.5762867927551
63,Web1,2,4,75,10,1.0,0.4416666666666667,637.6678640842438
64,Web1,2,5,75,10,1.0,0.2925696594427245,630.1850244998932
65,Web1,2,6,75,10,1.0,0.9467609828741623,694.210207939148
66,Web1,2,7,75,10,1.0,0.7814009661835749,648.6403670310974
67,Web1,2,8,75,10,1.0,0.86926461345066,668.337563753128
68,Web1,2,9,75,10,1.0,0.5355432780847145,673.3847479820251
69,Web1,2,10,75,10,1.0,0.6378892733564013,678.6534376144409
70,Web1,3,1,75,10,1.0,0.756031746031746,627.6272404193878
71,Web1,3,2,75,10,1.0,1.0,678.1330833435059
72,Web1,3,3,75,10,1.0,0.8628226870171471,636.784453868866
73,Web1,3,4,75,10,1.0,0.7417366446310524,629.363156080246
74,Web1,3,5,75,10,1.0,0.7000000000000001,646.5898764133453
