,dataset,rep,fold,best_size,best_depth,auc,time
0,Web6,1,1,50,10,0.07647093399165343,302.99932837486267
1,Web6,1,2,50,10,0.20953196347031966,347.14517974853516
2,Web6,1,3,50,10,0.5489457831325302,256.0580635070801
3,Web6,1,4,50,10,0.6734693877551021,346.9957842826843
4,Web6,1,5,50,10,0.432,332.2052733898163
5,Web6,1,6,50,10,1.0,344.934180021286
6,Web6,1,7,50,10,1.0,317.9363958835602
7,Web6,1,8,50,10,1.0,326.000807762146
8,Web6,1,9,50,10,0.28164556962025317,301.1361243724823
9,Web6,1,10,50,10,1.0,349.79488801956177
10,Web6,2,1,50,10,0.12546125461254612,352.37379574775696
11,Web6,2,2,50,10,0.4582094105086555,352.8159353733063
12,Web6,2,3,50,10,0.3783307210031348,295.80437207221985
13,Web6,2,4,50,10,0.8541666666666666,347.186927318573
14,Web6,2,5,50,10,0.20153920153920152,229.2538287639618
15,Web6,2,6,50,10,0.7411347517730497,351.8506009578705
16,Web6,2,7,50,10,0.8775510204081632,339.1147084236145
17,Web6,2,8,50,10,0.4409937888198758,308.1626806259155
18,Web6,2,9,50,10,1.0,335.9249994754791
19,Web6,2,10,50,10,0.7004838506974991,364.5792872905731
20,Web6,3,1,50,10,0.4989801864801865,359.7238848209381
21,Web6,3,2,50,10,0.04558156701465779,304.9834520816803
22,Web6,3,3,50,10,0.9123376623376623,275.43265438079834
23,Web6,3,4,50,10,0.9478527607361964,334.6408109664917
24,Web6,3,5,50,10,1.0,345.12541103363037
25,Web6,3,6,50,10,0.5,348.0207760334015
26,Web6,3,7,50,10,0.452191235059761,320.5821497440338
27,Web6,3,8,50,10,0.35185185185185186,362.4581456184387
28,Web6,3,9,50,10,0.8844221105527639,359.01877331733704
29,Web6,3,10,50,10,0.5276595744680852,253.1032042503357
30,Web6,4,1,50,10,0.8295668549905838,296.4913830757141
31,Web6,4,2,50,10,0.27088948787061995,307.18217515945435
32,Web6,4,3,50,10,0.5578917858144099,316.4570438861847
33,Web6,4,4,50,10,0.8009255627892384,294.9088935852051
34,Web6,4,5,50,10,0.10648148148148148,264.6966288089752
35,Web6,4,6,50,10,0.4983388704318937,312.37435150146484
36,Web6,4,7,50,10,0.43137254901960786,329.84540724754333
37,Web6,4,8,50,10,0.8579881656804734,326.61926341056824
38,Web6,4,9,50,10,1.0,339.2273783683777
39,Web6,4,10,50,10,1.0,319.1082396507263
40,Web6,5,1,50,10,0.2711111111111111,211.9857349395752
41,Web6,5,2,50,10,0.4321428571428571,326.134747505188
42,Web6,5,3,50,10,0.8,341.1511619091034
43,Web6,5,4,50,10,0.4786172487526728,312.76444363594055
44,Web6,5,5,50,10,0.4684915882520673,319.1003978252411
45,Web6,5,6,50,10,0.7802197802197802,337.032071352005
46,Web6,5,7,50,10,0.06451612903225806,331.6117835044861
47,Web6,5,8,50,10,0.04716981132075472,297.7536323070526
48,Web6,5,9,50,10,0.9277777777777778,337.2575113773346
49,Web6,5,10,50,10,0.8246124031007751,389.9410333633423
