,dataset,rep,fold,score
0,nBag_25_nFeat_2_nInsPerBag_2,1,1,0.3834549071618037
1,nBag_25_nFeat_2_nInsPerBag_2,1,2,0.7490223569533914
2,nBag_25_nFeat_2_nInsPerBag_2,1,3,0.9939964633068079
3,nBag_25_nFeat_2_nInsPerBag_2,1,4,0.7086348995831754
4,nBag_25_nFeat_2_nInsPerBag_2,1,5,0.8826094164456234
5,nBag_25_nFeat_2_nInsPerBag_2,1,6,1.1044208664898318
6,nBag_25_nFeat_2_nInsPerBag_2,1,7,0.7739126773609531
7,nBag_25_nFeat_2_nInsPerBag_2,1,8,0.2601679929266136
8,nBag_25_nFeat_2_nInsPerBag_2,1,9,1.0205449722691102
9,nBag_25_nFeat_2_nInsPerBag_2,2,1,0.8679045092838195
10,nBag_25_nFeat_2_nInsPerBag_2,2,2,0.8795092838196286
11,nBag_25_nFeat_2_nInsPerBag_2,2,3,0.9511405835543766
12,nBag_25_nFeat_2_nInsPerBag_2,2,4,0.6731211317418214
13,nBag_25_nFeat_2_nInsPerBag_2,2,5,0.9921419098143234
14,nBag_25_nFeat_2_nInsPerBag_2,2,6,1.3526096714956128
15,nBag_25_nFeat_2_nInsPerBag_2,2,7,0.661257736516357
16,nBag_25_nFeat_2_nInsPerBag_2,2,8,0.9066297208538586
17,nBag_25_nFeat_2_nInsPerBag_2,2,9,0.7427296841089944
18,nBag_25_nFeat_2_nInsPerBag_2,3,1,1.6974897516276823
19,nBag_25_nFeat_2_nInsPerBag_2,3,2,0.5052696728558795
20,nBag_25_nFeat_2_nInsPerBag_2,3,3,1.1605835543766578
21,nBag_25_nFeat_2_nInsPerBag_2,3,4,0.9190804597701149
22,nBag_25_nFeat_2_nInsPerBag_2,3,5,0.42179487179487174
23,nBag_25_nFeat_2_nInsPerBag_2,3,6,0.8026248894783378
24,nBag_25_nFeat_2_nInsPerBag_2,3,7,0.8141014588859415
25,nBag_25_nFeat_2_nInsPerBag_2,3,8,0.9441202475685233
26,nBag_25_nFeat_2_nInsPerBag_2,3,9,0.405605658709107
27,nBag_25_nFeat_2_nInsPerBag_2,4,1,0.9037400530503977
28,nBag_25_nFeat_2_nInsPerBag_2,4,2,0.3713812050018946
29,nBag_25_nFeat_2_nInsPerBag_2,4,3,0.8248806366047744
30,nBag_25_nFeat_2_nInsPerBag_2,4,4,0.9748251748251747
31,nBag_25_nFeat_2_nInsPerBag_2,4,5,0.38096153846153835
32,nBag_25_nFeat_2_nInsPerBag_2,4,6,1.0648309018567639
33,nBag_25_nFeat_2_nInsPerBag_2,4,7,0.3024518805685914
34,nBag_25_nFeat_2_nInsPerBag_2,4,8,0.9186472148541113
35,nBag_25_nFeat_2_nInsPerBag_2,4,9,0.9712864721485409
36,nBag_25_nFeat_2_nInsPerBag_2,5,1,1.2435344827586206
37,nBag_25_nFeat_2_nInsPerBag_2,5,2,0.8645225464190981
38,nBag_25_nFeat_2_nInsPerBag_2,5,3,1.028310548867578
39,nBag_25_nFeat_2_nInsPerBag_2,5,4,0.8337059492231905
40,nBag_25_nFeat_2_nInsPerBag_2,5,5,0.47609578750162296
41,nBag_25_nFeat_2_nInsPerBag_2,5,6,0.5618150814702538
42,nBag_25_nFeat_2_nInsPerBag_2,5,7,0.8393869731800764
