,dataset,rep,fold,score
0,nBag_25_nFeat_2_nInsPerBag_2,1,1,0.6794998105342933
1,nBag_25_nFeat_2_nInsPerBag_2,1,2,0.9165615141955835
2,nBag_25_nFeat_2_nInsPerBag_2,1,3,-1.3176419466975668
3,nBag_25_nFeat_2_nInsPerBag_2,1,4,-2.6982401656314705
4,nBag_25_nFeat_2_nInsPerBag_2,1,5,-6.37178217821782
5,nBag_25_nFeat_2_nInsPerBag_2,1,6,0.8207407407407407
6,nBag_25_nFeat_2_nInsPerBag_2,1,7,2.0481144343302993
7,nBag_25_nFeat_2_nInsPerBag_2,1,8,0.8393174546747245
8,nBag_25_nFeat_2_nInsPerBag_2,1,9,inf
9,nBag_25_nFeat_2_nInsPerBag_2,1,10,2.885536723163842
10,nBag_25_nFeat_2_nInsPerBag_2,2,1,-19.046511627906977
11,nBag_25_nFeat_2_nInsPerBag_2,2,2,0.8780363046597217
12,nBag_25_nFeat_2_nInsPerBag_2,2,3,-2.2722408026755847
13,nBag_25_nFeat_2_nInsPerBag_2,2,4,0.7744730551933943
14,nBag_25_nFeat_2_nInsPerBag_2,2,5,2.328090281838381
15,nBag_25_nFeat_2_nInsPerBag_2,2,6,6.707935110663985
16,nBag_25_nFeat_2_nInsPerBag_2,2,7,-0.7453346049912576
17,nBag_25_nFeat_2_nInsPerBag_2,2,8,2.727665706051873
18,nBag_25_nFeat_2_nInsPerBag_2,2,9,3.5425867507886433
19,nBag_25_nFeat_2_nInsPerBag_2,2,10,-2.5558670033670032
20,nBag_25_nFeat_2_nInsPerBag_2,3,1,-1.361111111111111
21,nBag_25_nFeat_2_nInsPerBag_2,3,2,0.7148132889974399
22,nBag_25_nFeat_2_nInsPerBag_2,3,3,1.80431736251511
23,nBag_25_nFeat_2_nInsPerBag_2,3,4,1.7450522050802555
24,nBag_25_nFeat_2_nInsPerBag_2,3,5,5.475559578670178
25,nBag_25_nFeat_2_nInsPerBag_2,3,6,1.5449970940014073
26,nBag_25_nFeat_2_nInsPerBag_2,3,7,-2.79289274803023
27,nBag_25_nFeat_2_nInsPerBag_2,3,8,1.154320987654321
28,nBag_25_nFeat_2_nInsPerBag_2,3,9,0.5930680359435173
29,nBag_25_nFeat_2_nInsPerBag_2,3,10,-1.8821359223300969
30,nBag_25_nFeat_2_nInsPerBag_2,4,1,-6.189124487004105
31,nBag_25_nFeat_2_nInsPerBag_2,4,2,0.75285207036682
32,nBag_25_nFeat_2_nInsPerBag_2,4,3,2.8459644322845414
33,nBag_25_nFeat_2_nInsPerBag_2,4,4,-7.509457493244645
34,nBag_25_nFeat_2_nInsPerBag_2,4,5,-4.955248218383864
35,nBag_25_nFeat_2_nInsPerBag_2,4,6,-1.9825870646766173
36,nBag_25_nFeat_2_nInsPerBag_2,4,7,8.54015748031496
37,nBag_25_nFeat_2_nInsPerBag_2,4,8,0.8544802867383512
38,nBag_25_nFeat_2_nInsPerBag_2,4,9,1.4141460055096415
39,nBag_25_nFeat_2_nInsPerBag_2,4,10,-2.3810316139767056
40,nBag_25_nFeat_2_nInsPerBag_2,5,1,-50.27450980392159
41,nBag_25_nFeat_2_nInsPerBag_2,5,2,-1.3638568622427192
42,nBag_25_nFeat_2_nInsPerBag_2,5,3,-67.67619047619031
43,nBag_25_nFeat_2_nInsPerBag_2,5,4,1.4906170483460564
44,nBag_25_nFeat_2_nInsPerBag_2,5,5,0.8255759337955714
45,nBag_25_nFeat_2_nInsPerBag_2,5,6,2.0481144343302993
46,nBag_25_nFeat_2_nInsPerBag_2,5,7,0.7460913070669167
47,nBag_25_nFeat_2_nInsPerBag_2,5,8,-3.780538675455763
48,nBag_25_nFeat_2_nInsPerBag_2,5,9,-1.9203522311269412
49,nBag_25_nFeat_2_nInsPerBag_2,5,10,1.2056600019894559
50,nBag_50_nFeat_2_nInsPerBag_10,1,1,2.8494825197620406
51,nBag_50_nFeat_2_nInsPerBag_10,1,2,-5.111221889885899
52,nBag_50_nFeat_2_nInsPerBag_10,1,3,-3.8110889110889112
53,nBag_50_nFeat_2_nInsPerBag_10,1,4,2.519026268896936
54,nBag_50_nFeat_2_nInsPerBag_10,1,5,-38.850724637681154
55,nBag_50_nFeat_2_nInsPerBag_10,1,6,-2.44135797572777
56,nBag_50_nFeat_2_nInsPerBag_10,1,7,-16.61579424968955
57,nBag_50_nFeat_2_nInsPerBag_10,1,8,1.9777313493681203
58,nBag_50_nFeat_2_nInsPerBag_10,1,9,-5.276292982946604
59,nBag_50_nFeat_2_nInsPerBag_10,1,10,-1.0435622944830105
60,nBag_50_nFeat_2_nInsPerBag_10,2,1,2.1669045948365553
61,nBag_50_nFeat_2_nInsPerBag_10,2,2,8.30627793147478
62,nBag_50_nFeat_2_nInsPerBag_10,2,3,-0.9591077528805514
63,nBag_50_nFeat_2_nInsPerBag_10,2,4,1.9207964123622217
64,nBag_50_nFeat_2_nInsPerBag_10,2,5,-1.372682162444502
65,nBag_50_nFeat_2_nInsPerBag_10,2,6,-2.9177055657742352
66,nBag_50_nFeat_2_nInsPerBag_10,2,7,-0.7684941038599574
