,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Harddrive1,1,1,100,8,1.0,1.0,85.16408920288086
1,Harddrive1,1,2,100,8,1.0,0.9663742690058479,43.428788900375366
2,Harddrive1,1,3,100,8,1.0,1.0,25.149646997451782
3,Harddrive1,1,4,100,8,1.0,0.9941520467836257,30.481943130493164
4,Harddrive1,1,5,100,8,1.0,0.9970760233918129,25.98869562149048
5,Harddrive1,1,6,100,8,1.0,0.9678362573099414,27.36586594581604
6,Harddrive1,1,7,100,8,1.0,1.0,29.389350652694702
7,Harddrive1,1,8,100,8,1.0,1.0,26.402782917022705
8,Harddrive1,1,9,100,8,1.0,0.9692982456140351,26.87257695198059
9,Harddrive1,1,10,100,8,1.0,0.9907120743034055,37.151782751083374
10,Harddrive1,2,1,100,8,1.0,0.9970588235294118,37.57571887969971
11,Harddrive1,2,2,100,8,1.0,0.9926900584795322,33.85378861427307
12,Harddrive1,2,3,100,8,1.0,0.9970760233918128,32.00038385391235
13,Harddrive1,2,4,100,8,1.0,1.0,29.40470290184021
14,Harddrive1,2,5,100,8,1.0,0.9649122807017544,30.58905267715454
15,Harddrive1,2,6,100,8,1.0,0.9970760233918129,32.91623401641846
16,Harddrive1,2,7,100,8,1.0,1.0,29.342853546142578
17,Harddrive1,2,8,100,8,1.0,0.9678362573099415,24.152191877365112
18,Harddrive1,2,9,100,8,1.0,0.9634502923976609,25.355746269226074
19,Harddrive1,2,10,100,8,1.0,0.9969040247678018,23.83975887298584
20,Harddrive1,3,1,100,8,1.0,0.9970588235294118,24.706366539001465
21,Harddrive1,3,2,100,8,1.0,0.9692982456140351,24.05801796913147
22,Harddrive1,3,3,100,8,1.0,0.9912280701754387,24.199726819992065
23,Harddrive1,3,4,100,8,1.0,1.0,25.80806279182434
24,Harddrive1,3,5,100,8,1.0,1.0,27.242130279541016
25,Harddrive1,3,6,100,8,1.0,1.0,28.446415662765503
26,Harddrive1,3,7,100,8,1.0,1.0,24.599000215530396
27,Harddrive1,3,8,100,8,1.0,0.9619883040935673,32.86225509643555
28,Harddrive1,3,9,100,8,1.0,1.0,31.229686737060547
29,Harddrive1,3,10,100,8,1.0,0.9643962848297213,34.53104758262634
30,Harddrive1,4,1,100,8,1.0,0.9411764705882352,43.42423963546753
31,Harddrive1,4,2,100,8,1.0,1.0,33.31899428367615
32,Harddrive1,4,3,100,8,1.0,1.0,33.4462628364563
33,Harddrive1,4,4,100,8,1.0,1.0,36.65627384185791
34,Harddrive1,4,5,100,8,1.0,0.9912280701754386,38.72115612030029
35,Harddrive1,4,6,100,8,1.0,0.9941520467836258,36.16322112083435
36,Harddrive1,4,7,100,8,1.0,1.0,36.33066987991333
37,Harddrive1,4,8,100,8,1.0,0.9970760233918129,34.90658378601074
38,Harddrive1,4,9,100,8,1.0,0.9722222222222221,32.95116114616394
39,Harddrive1,4,10,100,8,1.0,0.9938080495356036,32.01998233795166
40,Harddrive1,5,1,100,8,1.0,0.9941176470588234,31.793152332305908
41,Harddrive1,5,2,100,8,1.0,1.0,28.31227469444275
42,Harddrive1,5,3,100,8,1.0,0.9692982456140351,27.10118865966797
43,Harddrive1,5,4,100,8,1.0,0.9970760233918129,25.89601731300354
44,Harddrive1,5,5,100,8,1.0,0.9912280701754386,31.21608304977417
45,Harddrive1,5,6,100,8,1.0,0.9546783625730992,28.68101739883423
46,Harddrive1,5,7,100,8,1.0,1.0,27.733402490615845
47,Harddrive1,5,8,100,8,1.0,1.0,34.79965162277222
48,Harddrive1,5,9,100,8,1.0,0.9970760233918129,28.90356183052063
49,Harddrive1,5,10,100,8,1.0,0.9705882352941175,27.353382110595703
