,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,HermitWarbler,1,1,100,8,1.0,0.9107142857142857,7.204053163528442
1,HermitWarbler,1,2,100,8,1.0,0.8005952380952381,5.463409900665283
2,HermitWarbler,1,3,100,8,1.0,0.8482142857142857,6.241440057754517
3,HermitWarbler,1,4,100,8,1.0,0.9421768707482994,8.204864025115967
4,HermitWarbler,1,5,100,8,1.0,0.8945578231292517,7.319781541824341
5,HermitWarbler,1,6,100,8,1.0,0.9064625850340137,5.500971555709839
6,HermitWarbler,1,7,100,8,1.0,0.9693877551020409,5.029438257217407
7,HermitWarbler,1,8,100,8,1.0,0.8571428571428572,4.724152326583862
8,HermitWarbler,1,9,100,8,1.0,0.8993055555555557,4.985199451446533
9,HermitWarbler,1,10,100,8,1.0,0.9878472222222222,5.550095558166504
10,HermitWarbler,2,1,100,8,1.0,0.988095238095238,4.9748992919921875
11,HermitWarbler,2,2,100,8,1.0,0.9092261904761906,6.057287931442261
12,HermitWarbler,2,3,100,8,1.0,0.8541666666666666,4.7730491161346436
13,HermitWarbler,2,4,100,8,1.0,0.8792517006802721,5.7121946811676025
14,HermitWarbler,2,5,100,8,1.0,0.9098639455782314,6.935770034790039
15,HermitWarbler,2,6,100,8,1.0,0.7993197278911565,7.623073101043701
16,HermitWarbler,2,7,100,8,1.0,0.9812925170068028,5.958780527114868
17,HermitWarbler,2,8,100,8,1.0,0.9778911564625851,5.000681638717651
18,HermitWarbler,2,9,100,8,1.0,0.8871527777777779,4.347425222396851
19,HermitWarbler,2,10,100,8,1.0,0.9322916666666667,4.433244228363037
20,HermitWarbler,3,1,100,8,1.0,0.90625,4.428127765655518
21,HermitWarbler,3,2,100,8,1.0,0.8541666666666666,4.9923789501190186
22,HermitWarbler,3,3,100,8,1.0,0.8898809523809524,5.023277997970581
23,HermitWarbler,3,4,100,8,1.0,0.9693877551020409,4.929192781448364
24,HermitWarbler,3,5,100,8,1.0,0.7159863945578231,4.016428709030151
25,HermitWarbler,3,6,100,8,1.0,0.8962585034013606,4.756195783615112
26,HermitWarbler,3,7,100,8,1.0,0.9863945578231292,4.670650482177734
27,HermitWarbler,3,8,100,8,1.0,0.9710884353741497,4.663980722427368
28,HermitWarbler,3,9,100,8,1.0,0.9861111111111112,5.8797760009765625
29,HermitWarbler,3,10,100,8,1.0,0.96875,4.776339054107666
30,HermitWarbler,4,1,100,8,1.0,0.9494047619047619,4.990734338760376
31,HermitWarbler,4,2,100,8,1.0,0.9657738095238095,5.528117656707764
32,HermitWarbler,4,3,100,8,1.0,0.9092261904761905,4.652189016342163
33,HermitWarbler,4,4,100,8,1.0,0.8265306122448979,4.878817081451416
34,HermitWarbler,4,5,100,8,1.0,0.9846938775510203,5.382156133651733
35,HermitWarbler,4,6,100,8,1.0,0.9659863945578231,4.5591254234313965
36,HermitWarbler,4,7,100,8,1.0,0.9761904761904763,5.164864778518677
37,HermitWarbler,4,8,100,8,1.0,0.9761904761904762,4.961950302124023
38,HermitWarbler,4,9,100,8,1.0,0.875,4.436119079589844
39,HermitWarbler,4,10,100,8,1.0,0.9444444444444445,5.691758871078491
40,HermitWarbler,5,1,100,8,1.0,0.9032738095238095,7.449801445007324
41,HermitWarbler,5,2,100,8,1.0,0.6309523809523808,7.54988431930542
42,HermitWarbler,5,3,100,8,1.0,0.912202380952381,4.571412086486816
43,HermitWarbler,5,4,100,8,1.0,0.9659863945578231,4.64726996421814
44,HermitWarbler,5,5,100,8,1.0,0.8078231292517006,4.612213373184204
45,HermitWarbler,5,6,100,8,1.0,0.977891156462585,5.243677616119385
46,HermitWarbler,5,7,100,8,1.0,0.8877551020408164,4.641542196273804
47,HermitWarbler,5,8,100,8,1.0,0.9115646258503403,4.339803218841553
48,HermitWarbler,5,9,100,8,1.0,0.9947916666666667,4.705934286117554
49,HermitWarbler,5,10,100,8,1.0,0.9652777777777778,5.0637781620025635
