,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Mutagenesis1,1,1,100,8,1.0,0.7243589743589743,20.223687171936035
1,Mutagenesis1,1,2,100,8,1.0,0.6410256410256411,14.892539262771606
2,Mutagenesis1,1,3,100,8,1.0,0.891025641025641,11.976854801177979
3,Mutagenesis1,1,4,100,8,1.0,0.7884615384615384,11.078340291976929
4,Mutagenesis1,1,5,100,8,1.0,0.7051282051282052,10.574648380279541
5,Mutagenesis1,1,6,100,8,1.0,0.7083333333333334,14.342293500900269
6,Mutagenesis1,1,7,100,8,1.0,1.0,13.791132688522339
7,Mutagenesis1,1,8,100,8,1.0,0.5178571428571429,15.590871334075928
8,Mutagenesis1,1,9,100,8,1.0,0.8333333333333333,13.642859697341919
9,Mutagenesis1,1,10,100,8,1.0,0.6597222222222223,23.703367710113525
10,Mutagenesis1,2,1,100,8,1.0,0.9102564102564104,21.349259614944458
11,Mutagenesis1,2,2,100,8,1.0,0.6923076923076923,18.820523500442505
12,Mutagenesis1,2,3,100,8,1.0,0.6538461538461539,14.854954481124878
13,Mutagenesis1,2,4,100,8,1.0,0.5705128205128205,14.834053993225098
14,Mutagenesis1,2,5,100,8,1.0,0.8653846153846154,15.456850528717041
15,Mutagenesis1,2,6,100,8,1.0,0.6726190476190477,12.363574028015137
16,Mutagenesis1,2,7,100,8,1.0,0.8809523809523809,17.402183055877686
17,Mutagenesis1,2,8,100,8,1.0,0.8809523809523809,12.344504356384277
18,Mutagenesis1,2,9,100,8,1.0,0.9166666666666667,14.849182844161987
19,Mutagenesis1,2,10,100,8,1.0,0.5902777777777778,14.113124370574951
20,Mutagenesis1,3,1,100,8,1.0,0.858974358974359,14.118081331253052
21,Mutagenesis1,3,2,100,8,1.0,0.8782051282051283,12.935992002487183
22,Mutagenesis1,3,3,100,8,1.0,0.9487179487179488,13.134471416473389
23,Mutagenesis1,3,4,100,8,1.0,0.5448717948717949,15.62170696258545
24,Mutagenesis1,3,5,100,8,1.0,0.8205128205128207,16.235442638397217
25,Mutagenesis1,3,6,100,8,1.0,0.8928571428571428,13.044861078262329
26,Mutagenesis1,3,7,100,8,1.0,0.7916666666666666,19.243371963500977
27,Mutagenesis1,3,8,100,8,1.0,0.5714285714285714,18.70679211616516
28,Mutagenesis1,3,9,100,8,1.0,0.7361111111111112,19.301072359085083
29,Mutagenesis1,3,10,100,8,1.0,0.5833333333333333,17.986613750457764
30,Mutagenesis1,4,1,100,8,1.0,0.8269230769230769,15.082859516143799
31,Mutagenesis1,4,2,100,8,1.0,0.7628205128205129,15.787294864654541
32,Mutagenesis1,4,3,100,8,1.0,0.858974358974359,16.71060824394226
33,Mutagenesis1,4,4,100,8,1.0,0.6923076923076924,16.68789839744568
34,Mutagenesis1,4,5,100,8,1.0,0.7051282051282052,18.211202144622803
35,Mutagenesis1,4,6,100,8,1.0,0.8630952380952381,17.406437873840332
36,Mutagenesis1,4,7,100,8,1.0,0.8452380952380952,14.129927635192871
37,Mutagenesis1,4,8,100,8,1.0,0.6071428571428572,15.032069444656372
38,Mutagenesis1,4,9,100,8,1.0,0.8055555555555557,16.892446517944336
39,Mutagenesis1,4,10,100,8,1.0,0.7222222222222222,14.325670003890991
40,Mutagenesis1,5,1,100,8,1.0,0.6666666666666667,11.687860012054443
41,Mutagenesis1,5,2,100,8,1.0,0.7564102564102565,11.74592638015747
42,Mutagenesis1,5,3,100,8,1.0,0.717948717948718,14.867958784103394
43,Mutagenesis1,5,4,100,8,1.0,0.8333333333333334,15.92580771446228
44,Mutagenesis1,5,5,100,8,1.0,0.6153846153846154,10.15408968925476
45,Mutagenesis1,5,6,100,8,1.0,0.7619047619047619,10.42830753326416
46,Mutagenesis1,5,7,100,8,1.0,0.6845238095238095,10.71422791481018
47,Mutagenesis1,5,8,100,8,1.0,0.8452380952380952,9.545150756835938
48,Mutagenesis1,5,9,100,8,1.0,0.9027777777777778,9.457187175750732
49,Mutagenesis1,5,10,100,8,1.0,0.7777777777777778,9.098907232284546
