,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,SwainsonsThrush,1,1,100,8,1.0,0.7287234042553191,6.185990810394287
1,SwainsonsThrush,1,2,100,8,1.0,0.4787234042553192,5.97512412071228
2,SwainsonsThrush,1,3,100,8,1.0,0.723404255319149,12.874062299728394
3,SwainsonsThrush,1,4,100,8,1.0,0.6156914893617021,5.743239164352417
4,SwainsonsThrush,1,5,100,8,1.0,0.8683510638297872,4.9889092445373535
5,SwainsonsThrush,1,6,100,8,1.0,0.6143617021276595,6.1401238441467285
6,SwainsonsThrush,1,7,100,8,1.0,0.553191489361702,5.546391725540161
7,SwainsonsThrush,1,8,100,8,1.0,0.6728723404255319,5.75202202796936
8,SwainsonsThrush,1,9,100,8,1.0,0.7241847826086957,6.136219501495361
9,SwainsonsThrush,1,10,100,8,1.0,0.7537993920972644,6.395503282546997
10,SwainsonsThrush,2,1,100,8,1.0,0.8045212765957447,5.715865850448608
11,SwainsonsThrush,2,2,100,8,1.0,0.5970744680851064,5.720188140869141
12,SwainsonsThrush,2,3,100,8,1.0,0.8045212765957447,5.354752063751221
13,SwainsonsThrush,2,4,100,8,1.0,0.6662234042553192,5.350452184677124
14,SwainsonsThrush,2,5,100,8,1.0,0.75,5.868064641952515
15,SwainsonsThrush,2,6,100,8,1.0,0.6170212765957447,4.869995594024658
16,SwainsonsThrush,2,7,100,8,1.0,0.6156914893617021,4.673913478851318
17,SwainsonsThrush,2,8,100,8,1.0,0.8630319148936171,6.883252382278442
18,SwainsonsThrush,2,9,100,8,1.0,0.6141304347826086,5.549903631210327
19,SwainsonsThrush,2,10,100,8,1.0,0.4787234042553192,4.892395257949829
20,SwainsonsThrush,3,1,100,8,1.0,0.5518617021276595,5.105366230010986
21,SwainsonsThrush,3,2,100,8,1.0,0.7938829787234043,4.8263099193573
22,SwainsonsThrush,3,3,100,8,1.0,0.7353723404255319,5.829288959503174
23,SwainsonsThrush,3,4,100,8,1.0,0.6781914893617021,5.263038158416748
24,SwainsonsThrush,3,5,100,8,1.0,0.7074468085106383,5.772978067398071
25,SwainsonsThrush,3,6,100,8,1.0,0.6183510638297872,7.483565330505371
26,SwainsonsThrush,3,7,100,8,1.0,0.625,10.769184350967407
27,SwainsonsThrush,3,8,100,8,1.0,0.7393617021276596,5.838056325912476
28,SwainsonsThrush,3,9,100,8,1.0,0.625,9.291667699813843
29,SwainsonsThrush,3,10,100,8,1.0,0.6778115501519757,7.650367498397827
30,SwainsonsThrush,4,1,100,8,1.0,0.553191489361702,4.939685344696045
31,SwainsonsThrush,4,2,100,8,1.0,0.8125,4.931503057479858
32,SwainsonsThrush,4,3,100,8,1.0,0.8085106382978724,5.4928834438323975
33,SwainsonsThrush,4,4,100,8,1.0,0.6170212765957447,5.510648965835571
34,SwainsonsThrush,4,5,100,8,1.0,0.4574468085106383,5.396095275878906
35,SwainsonsThrush,4,6,100,8,1.0,0.6170212765957447,5.457262992858887
36,SwainsonsThrush,4,7,100,8,1.0,0.7220744680851064,11.706835746765137
37,SwainsonsThrush,4,8,100,8,1.0,0.5438829787234043,9.513468742370605
38,SwainsonsThrush,4,9,100,8,1.0,0.6875,6.650407314300537
39,SwainsonsThrush,4,10,100,8,1.0,0.6246200607902735,6.200055122375488
40,SwainsonsThrush,5,1,100,8,1.0,0.5518617021276595,7.683723449707031
41,SwainsonsThrush,5,2,100,8,1.0,0.625,10.03591799736023
42,SwainsonsThrush,5,3,100,8,1.0,0.6050531914893618,13.554619550704956
43,SwainsonsThrush,5,4,100,8,1.0,0.7992021276595745,19.675869464874268
44,SwainsonsThrush,5,5,100,8,1.0,0.625,8.132017850875854
45,SwainsonsThrush,5,6,100,8,1.0,0.7420212765957447,9.24417495727539
46,SwainsonsThrush,5,7,100,8,1.0,0.553191489361702,11.800378561019897
47,SwainsonsThrush,5,8,100,8,1.0,0.6476063829787233,9.575597047805786
48,SwainsonsThrush,5,9,100,8,1.0,0.7404891304347826,7.013373136520386
49,SwainsonsThrush,5,10,100,8,1.0,0.8267477203647416,7.130575656890869
