,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Web4,1,1,100,12,0.5,0.75,157.42394518852234
1,Web4,1,2,100,12,0.5,0.8333333333333334,63.232677698135376
2,Web4,1,3,100,12,0.5,0.6666666666666666,48.24712586402893
3,Web4,1,4,100,12,0.5,0.7916666666666666,45.80543613433838
4,Web4,1,5,100,12,0.5,0.8333333333333333,38.740041971206665
5,Web4,1,6,100,12,0.5,0.8,34.099294900894165
6,Web4,1,7,100,12,0.5,0.7,29.345484018325806
7,Web4,1,8,100,12,0.5,1.0,31.15447998046875
8,Web4,1,9,100,12,0.5,0.4,30.17115545272827
9,Web4,1,10,100,12,0.5,1.0,38.51823902130127
10,Web4,2,1,100,12,0.5,0.7083333333333334,50.23447036743164
11,Web4,2,2,100,12,0.5,0.875,43.09267210960388
12,Web4,2,3,100,12,0.5,0.9166666666666667,34.39641976356506
13,Web4,2,4,100,12,0.5,0.875,41.91389036178589
14,Web4,2,5,100,12,0.5,0.6666666666666666,26.507000207901
15,Web4,2,6,100,12,0.5,1.0,25.98940110206604
16,Web4,2,7,100,12,0.5,1.0,25.372687578201294
17,Web4,2,8,100,12,0.5,0.75,25.958388090133667
18,Web4,2,9,100,12,0.5,0.5,29.956152200698853
19,Web4,2,10,100,12,0.5,0.15000000000000002,25.468709230422974
20,Web4,3,1,100,12,0.5,0.9166666666666667,24.898297786712646
21,Web4,3,2,100,12,0.5,1.0,25.957773208618164
22,Web4,3,3,100,12,0.5,0.625,36.249220848083496
23,Web4,3,4,100,12,0.5,0.125,30.60629653930664
24,Web4,3,5,100,12,0.5,0.75,30.478052854537964
25,Web4,3,6,100,12,0.5,0.7,24.536076068878174
26,Web4,3,7,100,12,0.5,0.4,24.480095863342285
27,Web4,3,8,100,12,0.5,0.65,24.59589982032776
28,Web4,3,9,100,12,0.5,1.0,24.520151376724243
29,Web4,3,10,100,12,0.5,1.0,24.358261108398438
30,Web4,4,1,100,12,0.5,0.6666666666666667,23.980058670043945
31,Web4,4,2,100,12,0.5,0.625,26.034669160842896
32,Web4,4,3,100,12,0.5,0.75,41.8376350402832
33,Web4,4,4,100,12,0.5,0.41666666666666663,25.25826668739319
34,Web4,4,5,100,12,0.5,1.0,26.50487494468689
35,Web4,4,6,100,12,0.5,0.9,26.674761533737183
36,Web4,4,7,100,12,0.5,0.7,25.225085496902466
37,Web4,4,8,100,12,0.5,0.7,25.074445962905884
38,Web4,4,9,100,12,0.5,1.0,25.03398036956787
39,Web4,4,10,100,12,0.5,1.0,25.436543226242065
40,Web4,5,1,100,12,0.5,0.5833333333333334,25.102598905563354
41,Web4,5,2,100,12,0.5,1.0,24.984615087509155
42,Web4,5,3,100,12,0.5,0.6666666666666666,37.387338399887085
43,Web4,5,4,100,12,0.5,0.5,26.22007417678833
44,Web4,5,5,100,12,0.5,0.25,25.48830771446228
45,Web4,5,6,100,12,0.5,0.7,25.092204570770264
46,Web4,5,7,100,12,0.5,1.0,27.141021013259888
47,Web4,5,8,100,12,0.5,0.9,25.321273803710938
48,Web4,5,9,100,12,0.5,0.7,26.900768995285034
49,Web4,5,10,100,12,0.5,1.0,33.16228532791138
