,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Newsgroups8,1,1,100,8,1.0,0.9401069518716577,1694.6606140136719
1,Newsgroups8,1,2,100,8,1.0,0.5926664009565563,1597.7701704502106
2,Newsgroups8,1,3,100,8,1.0,0.830765639589169,1685.848237991333
3,Newsgroups8,1,4,100,8,1.0,1.0,1750.126892566681
4,Newsgroups8,1,5,100,8,1.0,0.5358415570175439,1652.6528244018555
5,Newsgroups8,1,6,100,8,1.0,0.7992888123485138,1748.933986902237
6,Newsgroups8,1,7,100,8,1.0,0.6545031055900621,1713.9324793815613
7,Newsgroups8,1,8,100,8,1.0,1.0,1760.7616002559662
8,Newsgroups8,1,9,100,8,1.0,0.7407566792182178,1719.44584441185
9,Newsgroups8,1,10,100,8,1.0,0.5041060940282243,1618.978973865509
10,Newsgroups8,2,1,100,8,1.0,0.9179728900541083,1823.4675912857056
11,Newsgroups8,2,2,100,8,1.0,0.85331006652852,1750.2508890628815
12,Newsgroups8,2,3,100,8,1.0,0.9382068965517242,1760.4484012126923
13,Newsgroups8,2,4,100,8,1.0,0.7905514026203682,1711.0510911941528
14,Newsgroups8,2,5,100,8,1.0,0.5956837280366692,1848.4900915622711
15,Newsgroups8,2,6,100,8,1.0,0.7210141813493769,1712.4081122875214
16,Newsgroups8,2,7,100,8,1.0,0.4265756302521009,1495.5918536186218
17,Newsgroups8,2,8,100,8,1.0,0.9725580996484006,1697.2039937973022
18,Newsgroups8,2,9,100,8,1.0,1.0,1898.9172382354736
19,Newsgroups8,2,10,100,8,1.0,0.7420075757575758,1597.7315409183502
20,Newsgroups8,3,1,100,8,1.0,0.5301587301587302,1631.5571389198303
21,Newsgroups8,3,2,100,8,1.0,0.9596982758620689,1782.0894305706024
22,Newsgroups8,3,3,100,8,1.0,0.9512412665378326,1691.1067054271698
23,Newsgroups8,3,4,100,8,1.0,0.7859477124183006,1724.4816138744354
24,Newsgroups8,3,5,100,8,1.0,0.8682328907048008,1748.5298299789429
25,Newsgroups8,3,6,100,8,1.0,0.7221524133343189,1725.9719603061676
26,Newsgroups8,3,7,100,8,1.0,0.9467459666393219,1741.78080701828
27,Newsgroups8,3,8,100,8,1.0,0.7655898589245553,1642.7537360191345
28,Newsgroups8,3,9,100,8,1.0,0.8875739644970414,1785.4852607250214
29,Newsgroups8,3,10,100,8,1.0,0.7571743929359823,1646.9145834445953
30,Newsgroups8,4,1,100,8,1.0,0.8396377975755804,1679.4592275619507
31,Newsgroups8,4,2,100,8,1.0,0.6510439664416829,1643.4073603153229
32,Newsgroups8,4,3,100,8,1.0,0.38378740824393,1882.485250711441
33,Newsgroups8,4,4,100,8,1.0,0.9127002288329519,1741.6345312595367
34,Newsgroups8,4,5,100,8,1.0,0.8879425871067852,1702.073621749878
35,Newsgroups8,4,6,100,8,1.0,0.7151451489686783,1705.3618459701538
36,Newsgroups8,4,7,100,8,1.0,0.5651072453977368,1885.8464555740356
37,Newsgroups8,4,8,100,8,1.0,0.8619400903664863,1715.237900018692
38,Newsgroups8,4,9,100,8,1.0,0.7261985472154964,1647.3031446933746
39,Newsgroups8,4,10,100,8,1.0,0.5853338632750398,1701.9388620853424
40,Newsgroups8,5,1,100,8,1.0,0.7952289828749352,1822.0597517490387
41,Newsgroups8,5,2,100,8,1.0,0.8598484848484849,1746.6515097618103
42,Newsgroups8,5,3,100,8,1.0,0.6625,1590.7830123901367
43,Newsgroups8,5,4,100,8,1.0,0.7624138615546039,1745.4684245586395
44,Newsgroups8,5,5,100,8,1.0,0.8340212523052604,1689.1147956848145
45,Newsgroups8,5,6,100,8,1.0,1.0,1802.631799697876
46,Newsgroups8,5,7,100,8,1.0,0.7881605160800682,1700.1789371967316
47,Newsgroups8,5,8,100,8,1.0,0.853913693256118,1732.355784893036
48,Newsgroups8,5,9,100,8,1.0,1.0,1855.663531780243
49,Newsgroups8,5,10,100,8,1.0,0.76875,1782.8938658237457
