,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Web5,1,1,100,12,1.0,0.6703958691910499,599.9353868961334
1,Web5,1,2,100,12,1.0,0.919732441471572,520.4704437255859
2,Web5,1,3,100,12,1.0,0.6638691322901848,531.7163627147675
3,Web5,1,4,100,12,1.0,0.424,572.1075460910797
4,Web5,1,5,100,12,1.0,0.5574117647058823,579.0273628234863
5,Web5,1,6,100,12,1.0,0.9090909090909091,672.0647695064545
6,Web5,1,7,100,12,1.0,0.3026315789473684,657.4781112670898
7,Web5,1,8,100,12,1.0,1.0,657.5044441223145
8,Web5,1,9,100,12,1.0,0.7870813397129186,674.727480173111
9,Web5,1,10,100,12,1.0,0.6335616438356164,644.5171194076538
10,Web5,2,1,100,12,1.0,0.8743455497382199,581.5948312282562
11,Web5,2,2,100,12,1.0,0.6436941964285714,617.316305398941
12,Web5,2,3,100,12,1.0,1.0,476.461905002594
13,Web5,2,4,100,12,1.0,0.7599104859335039,613.4599890708923
14,Web5,2,5,100,12,1.0,0.7382360187238237,606.0036840438843
15,Web5,2,6,100,12,1.0,1.0,651.1873488426208
16,Web5,2,7,100,12,1.0,0.1211453744493392,677.3275351524353
17,Web5,2,8,100,12,1.0,0.12333333333333334,653.9014971256256
18,Web5,2,9,100,12,1.0,0.8325581395348837,659.190190076828
19,Web5,2,10,100,12,1.0,1.0,686.3882033824921
20,Web5,3,1,100,12,1.0,0.8344827586206897,570.0277562141418
21,Web5,3,2,100,12,1.0,0.4605911330049261,563.793300151825
22,Web5,3,3,100,12,1.0,0.7011852149457614,594.3511333465576
23,Web5,3,4,100,12,1.0,0.7266387726638773,621.3676543235779
24,Web5,3,5,100,12,1.0,0.7516369291209691,548.4885175228119
25,Web5,3,6,100,12,1.0,1.0,630.2112629413605
26,Web5,3,7,100,12,1.0,0.10230547550432277,619.0540585517883
27,Web5,3,8,100,12,1.0,0.8333333333333334,637.197478055954
28,Web5,3,9,100,12,1.0,0.8897243107769424,626.8187525272369
29,Web5,3,10,100,12,1.0,0.735632183908046,696.0858137607574
30,Web5,4,1,100,12,1.0,0.9398496240601504,578.8500356674194
31,Web5,4,2,100,12,1.0,0.8281902708529848,570.3728652000427
32,Web5,4,3,100,12,1.0,0.46900916630292455,609.306889295578
33,Web5,4,4,100,12,1.0,0.6393263342082239,655.1130077838898
34,Web5,4,5,100,12,1.0,1.0,636.8001353740692
35,Web5,4,6,100,12,1.0,0.9094076655052264,765.8987312316895
36,Web5,4,7,100,12,1.0,0.17289719626168223,771.7001864910126
37,Web5,4,8,100,12,1.0,1.0,671.0539884567261
38,Web5,4,9,100,12,1.0,0.9585798816568047,629.5303211212158
39,Web5,4,10,100,12,1.0,0.9441340782122905,680.8331739902496
40,Web5,5,1,100,12,1.0,0.7514970059880239,653.0342290401459
41,Web5,5,2,100,12,1.0,0.6484375,624.9574174880981
42,Web5,5,3,100,12,1.0,0.7573060865743793,608.7843236923218
43,Web5,5,4,100,12,1.0,0.7569060773480663,534.9975345134735
44,Web5,5,5,100,12,1.0,0.868836291913215,598.7322254180908
45,Web5,5,6,100,12,1.0,0.47205882352941175,741.6904082298279
46,Web5,5,7,100,12,1.0,0.9283582089552239,624.1706199645996
47,Web5,5,8,100,12,1.0,0.8987730061349692,658.1409187316895
48,Web5,5,9,100,12,1.0,1.0,645.2867636680603
49,Web5,5,10,100,12,1.0,0.8495762711864407,668.2444996833801
