,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,BrownCreeper,1,1,100,8,1.0,1.0,13994.882453918457
1,BrownCreeper,1,2,100,8,1.0,1.0,14041.603702783585
2,BrownCreeper,1,3,100,8,1.0,0.9871428571428572,13987.302956819534
3,BrownCreeper,1,4,100,8,1.0,0.9764285714285714,13619.029863357544
4,BrownCreeper,1,5,100,8,1.0,0.9928571428571429,13765.546606063843
5,BrownCreeper,1,6,100,8,1.0,1.0,14048.353815555573
6,BrownCreeper,1,7,100,8,1.0,0.9807142857142858,13039.136747121811
7,BrownCreeper,1,8,100,8,1.0,0.989766081871345,12299.36061835289
8,BrownCreeper,1,9,100,8,1.0,0.9819548872180451,12575.629114151001
9,BrownCreeper,1,10,100,8,1.0,0.9932330827067668,12527.597321748734
10,BrownCreeper,2,1,100,8,1.0,0.9842857142857143,12571.846715211868
11,BrownCreeper,2,2,100,8,1.0,0.9857142857142858,12415.218017816544
12,BrownCreeper,2,3,100,8,1.0,0.9971428571428571,12125.2416369915
13,BrownCreeper,2,4,100,8,1.0,1.0,12398.450310230255
14,BrownCreeper,2,5,100,8,1.0,0.9871428571428571,12448.654267311096
15,BrownCreeper,2,6,100,8,1.0,0.9957142857142857,12611.069546699524
16,BrownCreeper,2,7,100,8,1.0,0.9857142857142857,13041.155608177185
17,BrownCreeper,2,8,100,8,1.0,0.9846491228070176,12338.161337137222
18,BrownCreeper,2,9,100,8,1.0,0.9796992481203006,12706.854569196701
19,BrownCreeper,2,10,100,8,1.0,0.9781954887218044,12075.622890233994
20,BrownCreeper,3,1,100,8,1.0,1.0,12734.077523946762
21,BrownCreeper,3,2,100,8,1.0,0.987857142857143,13052.544613361359
22,BrownCreeper,3,3,100,8,1.0,0.9942857142857143,12628.03328204155
23,BrownCreeper,3,4,100,8,1.0,0.9528571428571428,11949.758828878403
24,BrownCreeper,3,5,100,8,1.0,0.9835714285714285,12579.987442970276
25,BrownCreeper,3,6,100,8,1.0,0.9985714285714286,12370.030489206314
26,BrownCreeper,3,7,100,8,1.0,0.9742857142857143,12464.13350534439
27,BrownCreeper,3,8,100,8,1.0,0.9926900584795321,12974.426975727081
28,BrownCreeper,3,9,100,8,1.0,0.9939849624060151,12672.584291696548
29,BrownCreeper,3,10,100,8,1.0,0.98796992481203,12725.434284448624
30,BrownCreeper,4,1,100,8,1.0,1.0,12278.906124353409
31,BrownCreeper,4,2,100,8,1.0,0.9885714285714285,12396.873540878296
32,BrownCreeper,4,3,100,8,1.0,0.98,12203.59823179245
33,BrownCreeper,4,4,100,8,1.0,0.9971428571428572,12284.037084579468
34,BrownCreeper,4,5,100,8,1.0,0.9957142857142857,12033.590857982635
35,BrownCreeper,4,6,100,8,1.0,0.9971428571428571,12382.355813980103
36,BrownCreeper,4,7,100,8,1.0,0.9757142857142858,12139.69616484642
37,BrownCreeper,4,8,100,8,1.0,0.9678362573099415,11917.033024787903
38,BrownCreeper,4,9,100,8,1.0,0.987218045112782,12265.696704387665
39,BrownCreeper,4,10,100,8,1.0,0.9939849624060151,12523.581540584564
40,BrownCreeper,5,1,100,8,1.0,1.0,12190.994328737259
41,BrownCreeper,5,2,100,8,1.0,0.9942857142857142,12363.152843475342
42,BrownCreeper,5,3,100,8,1.0,0.955,11608.365800857544
43,BrownCreeper,5,4,100,8,1.0,0.9792857142857143,11708.120369911194
44,BrownCreeper,5,5,100,8,1.0,1.0,11596.990228652954
45,BrownCreeper,5,6,100,8,1.0,0.9857142857142858,12187.522078037262
46,BrownCreeper,5,7,100,8,1.0,1.0,12274.038607597351
47,BrownCreeper,5,8,100,8,1.0,1.0,12204.146759748459
48,BrownCreeper,5,9,100,8,1.0,0.9864661654135338,12119.952358961105
49,BrownCreeper,5,10,100,8,1.0,0.9759398496240602,12015.737139225006
