,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Chestnut-backedChickadee,1,1,100,8,1.0,0.8992248062015504,14560.889108657837
1,Chestnut-backedChickadee,1,2,100,8,1.0,0.8003875968992248,14265.592592477798
2,Chestnut-backedChickadee,1,3,100,8,1.0,0.9253875968992248,14679.339401483536
3,Chestnut-backedChickadee,1,4,100,8,1.0,0.8905038759689922,14175.832639217377
4,Chestnut-backedChickadee,1,5,100,8,1.0,0.936046511627907,14391.661322116852
5,Chestnut-backedChickadee,1,6,100,8,1.0,0.8517441860465116,14138.544572353363
6,Chestnut-backedChickadee,1,7,100,8,1.0,0.8313953488372093,14410.02848982811
7,Chestnut-backedChickadee,1,8,100,8,1.0,0.9318181818181818,14778.587471961975
8,Chestnut-backedChickadee,1,9,100,8,1.0,0.9207188160676533,14680.982913255692
9,Chestnut-backedChickadee,1,10,100,8,1.0,0.8942917547568711,14603.866002321243
10,Chestnut-backedChickadee,2,1,100,8,1.0,0.9001937984496124,14967.75331568718
11,Chestnut-backedChickadee,2,2,100,8,1.0,0.8808139534883721,14306.470178604126
12,Chestnut-backedChickadee,2,3,100,8,1.0,0.9224806201550387,14497.079710245132
13,Chestnut-backedChickadee,2,4,100,8,1.0,0.8624031007751938,14292.345299959183
14,Chestnut-backedChickadee,2,5,100,8,1.0,0.9282945736434108,14490.022329092026
15,Chestnut-backedChickadee,2,6,100,8,1.0,0.9282945736434108,14381.07911992073
16,Chestnut-backedChickadee,2,7,100,8,1.0,0.8866279069767442,14298.523678064346
17,Chestnut-backedChickadee,2,8,100,8,1.0,0.8667355371900827,14374.349979877472
18,Chestnut-backedChickadee,2,9,100,8,1.0,0.9429175475687104,14422.228387355804
19,Chestnut-backedChickadee,2,10,100,8,1.0,0.9133192389006343,14263.081222057343
20,Chestnut-backedChickadee,3,1,100,8,1.0,0.9631782945736433,14542.934707164764
21,Chestnut-backedChickadee,3,2,100,8,1.0,0.8943798449612403,14499.855188369751
22,Chestnut-backedChickadee,3,3,100,8,1.0,0.8624031007751938,14092.25719833374
23,Chestnut-backedChickadee,3,4,100,8,1.0,0.9127906976744186,14101.70625448227
24,Chestnut-backedChickadee,3,5,100,8,1.0,0.9437984496124031,14559.773731946945
25,Chestnut-backedChickadee,3,6,100,8,1.0,0.9224806201550388,14126.319935321808
26,Chestnut-backedChickadee,3,7,100,8,1.0,0.8575581395348838,14313.081963062286
27,Chestnut-backedChickadee,3,8,100,8,1.0,0.9349173553719008,14825.3140437603
28,Chestnut-backedChickadee,3,9,100,8,1.0,0.912262156448203,14435.283468961716
29,Chestnut-backedChickadee,3,10,100,8,1.0,0.8689217758985202,14502.304970502853
30,Chestnut-backedChickadee,4,1,100,8,1.0,0.9060077519379844,14375.05661702156
31,Chestnut-backedChickadee,4,2,100,8,1.0,0.9118217054263567,14268.428441286087
32,Chestnut-backedChickadee,4,3,100,8,1.0,0.9496124031007752,13388.450432300568
33,Chestnut-backedChickadee,4,4,100,8,1.0,0.9001937984496123,13657.771708011627
34,Chestnut-backedChickadee,4,5,100,8,1.0,0.9118217054263565,13847.457489490509
35,Chestnut-backedChickadee,4,6,100,8,1.0,0.873062015503876,14438.772349357605
36,Chestnut-backedChickadee,4,7,100,8,1.0,0.8914728682170543,14241.275460720062
37,Chestnut-backedChickadee,4,8,100,8,1.0,0.856404958677686,14058.521729707718
38,Chestnut-backedChickadee,4,9,100,8,1.0,0.9175475687103595,14190.188956975937
39,Chestnut-backedChickadee,4,10,100,8,1.0,0.937632135306554,13738.533757209778
40,Chestnut-backedChickadee,5,1,100,8,1.0,0.9370155038759691,14430.674290418625
41,Chestnut-backedChickadee,5,2,100,8,1.0,0.938953488372093,14549.690834283829
42,Chestnut-backedChickadee,5,3,100,8,1.0,0.9282945736434108,14604.294602632523
43,Chestnut-backedChickadee,5,4,100,8,1.0,0.7974806201550387,14006.943883657455
44,Chestnut-backedChickadee,5,5,100,8,1.0,0.9079457364341085,14154.883606910706
45,Chestnut-backedChickadee,5,6,100,8,1.0,0.9447674418604651,14259.417575359344
46,Chestnut-backedChickadee,5,7,100,8,1.0,0.9098837209302325,14514.76973772049
47,Chestnut-backedChickadee,5,8,100,8,1.0,0.9132231404958677,14364.025876760483
48,Chestnut-backedChickadee,5,9,100,8,1.0,0.9587737843551798,14535.321326971054
49,Chestnut-backedChickadee,5,10,100,8,1.0,0.8192389006342495,14260.37780880928
