,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,CorelAntique,1,1,100,8,1.0,0.9518421052631578,28388.68404006958
1,CorelAntique,1,2,100,8,1.0,0.8478947368421053,27192.387531518936
2,CorelAntique,1,3,100,8,1.0,0.9521052631578948,28014.632871627808
3,CorelAntique,1,4,100,8,1.0,0.8521052631578947,29159.581124782562
4,CorelAntique,1,5,100,8,1.0,0.9373684210526316,27561.1904232502
5,CorelAntique,1,6,100,8,1.0,0.8457894736842104,29022.51714015007
6,CorelAntique,1,7,100,8,1.0,0.8992105263157895,29406.247271060944
7,CorelAntique,1,8,100,8,1.0,0.9697368421052631,29347.737793922424
8,CorelAntique,1,9,100,8,1.0,0.8226315789473684,28317.999029636383
9,CorelAntique,1,10,100,8,1.0,0.8865789473684211,29227.93367290497
10,CorelAntique,2,1,100,8,1.0,0.9357894736842106,30511.193878650665
11,CorelAntique,2,2,100,8,1.0,0.8768421052631579,27898.640288352966
12,CorelAntique,2,3,100,8,1.0,0.8523684210526316,30249.24810051918
13,CorelAntique,2,4,100,8,1.0,0.8944736842105263,27291.991371393204
14,CorelAntique,2,5,100,8,1.0,0.9147368421052632,30204.58030939102
15,CorelAntique,2,6,100,8,1.0,0.8757894736842107,28648.695248365402
16,CorelAntique,2,7,100,8,1.0,0.8886842105263157,30333.773199796677
17,CorelAntique,2,8,100,8,1.0,0.9392105263157895,29536.691436052322
18,CorelAntique,2,9,100,8,1.0,0.9073684210526316,29335.81458711624
19,CorelAntique,2,10,100,8,1.0,0.9597368421052632,27946.05498981476
20,CorelAntique,3,1,100,8,1.0,0.8952631578947368,27828.299371004105
21,CorelAntique,3,2,100,8,1.0,0.9121052631578948,29221.666436195374
22,CorelAntique,3,3,100,8,1.0,0.9710526315789474,29581.841336727142
23,CorelAntique,3,4,100,8,1.0,0.9207894736842106,27737.457548379898
24,CorelAntique,3,5,100,8,1.0,0.9165789473684209,28473.196226596832
25,CorelAntique,3,6,100,8,1.0,0.915,29876.417855024338
26,CorelAntique,3,7,100,8,1.0,0.7797368421052631,27206.483911275864
27,CorelAntique,3,8,100,8,1.0,0.8860526315789473,31518.08411383629
28,CorelAntique,3,9,100,8,1.0,0.9386842105263158,29098.639989852905
29,CorelAntique,3,10,100,8,1.0,0.8710526315789474,29155.25764989853
30,CorelAntique,4,1,100,8,1.0,0.9221052631578947,27876.546484708786
31,CorelAntique,4,2,100,8,1.0,0.8573684210526316,27458.66692852974
32,CorelAntique,4,3,100,8,1.0,0.8355263157894737,28237.62301015854
33,CorelAntique,4,4,100,8,1.0,0.9502631578947369,29517.50532054901
34,CorelAntique,4,5,100,8,1.0,0.9447368421052632,27898.259189605713
35,CorelAntique,4,6,100,8,1.0,0.918421052631579,28896.552306890488
36,CorelAntique,4,7,100,8,1.0,0.8292105263157895,29774.13656592369
37,CorelAntique,4,8,100,8,1.0,0.9210526315789473,29214.854346990585
38,CorelAntique,4,9,100,8,1.0,0.945,28941.150538921356
39,CorelAntique,4,10,100,8,1.0,0.9339473684210526,29517.17714214325
40,CorelAntique,5,1,100,8,1.0,0.8728947368421052,28729.429379701614
41,CorelAntique,5,2,100,8,1.0,0.8963157894736842,30491.491221666336
42,CorelAntique,5,3,100,8,1.0,0.94,28584.345821142197
43,CorelAntique,5,4,100,8,1.0,0.9305263157894738,28567.445127487183
44,CorelAntique,5,5,100,8,1.0,0.9613157894736843,29118.624796390533
45,CorelAntique,5,6,100,8,1.0,0.9421052631578948,29258.041234731674
46,CorelAntique,5,7,100,8,1.0,0.9563157894736842,28670.075736522675
47,CorelAntique,5,8,100,8,1.0,0.9199999999999999,29681.874104976654
48,CorelAntique,5,9,100,8,1.0,0.8644736842105264,28529.437591552734
49,CorelAntique,5,10,100,8,1.0,0.8755263157894735,29510.614507436752
