,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,CorelDesserts,1,1,100,8,1.0,0.9744736842105264,43631.074323415756
1,CorelDesserts,1,2,100,8,1.0,0.9018421052631578,38355.30085873604
2,CorelDesserts,1,3,100,8,1.0,0.9921052631578948,40903.17517375946
3,CorelDesserts,1,4,100,8,1.0,0.9721052631578948,41432.468129873276
4,CorelDesserts,1,5,100,8,1.0,0.9644736842105263,42013.90294933319
5,CorelDesserts,1,6,100,8,1.0,0.9655263157894737,40482.37444925308
6,CorelDesserts,1,7,100,8,1.0,0.9060526315789474,39493.826008081436
7,CorelDesserts,1,8,100,8,1.0,0.9776315789473684,41419.79998731613
8,CorelDesserts,1,9,100,8,1.0,0.9815789473684209,39850.83475136757
9,CorelDesserts,1,10,100,8,1.0,0.9931578947368421,42342.0321559906
10,CorelDesserts,2,1,100,8,1.0,0.9218421052631578,40644.42732548714
11,CorelDesserts,2,2,100,8,1.0,0.9536842105263157,41775.621678590775
12,CorelDesserts,2,3,100,8,1.0,0.9655263157894736,40044.0283434391
13,CorelDesserts,2,4,100,8,1.0,0.9360526315789474,40621.62661910057
14,CorelDesserts,2,5,100,8,1.0,0.9881578947368421,44111.85674452782
15,CorelDesserts,2,6,100,8,1.0,0.9739473684210527,40867.08929562569
16,CorelDesserts,2,7,100,8,1.0,0.9723684210526317,43242.65797877312
17,CorelDesserts,2,8,100,8,1.0,0.9647368421052631,41520.15594124794
18,CorelDesserts,2,9,100,8,1.0,0.9726315789473684,40010.92947101593
19,CorelDesserts,2,10,100,8,1.0,0.9694736842105264,41274.942049741745
20,CorelDesserts,3,1,100,8,1.0,0.9921052631578948,41928.81452345848
21,CorelDesserts,3,2,100,8,1.0,0.9863157894736843,41565.57440328598
22,CorelDesserts,3,3,100,8,1.0,0.9807894736842104,41249.41949081421
23,CorelDesserts,3,4,100,8,1.0,0.9113157894736841,42139.2410902977
24,CorelDesserts,3,5,100,8,1.0,0.9652631578947368,39588.5111310482
25,CorelDesserts,3,6,100,8,1.0,0.9965789473684211,41711.43728351593
26,CorelDesserts,3,7,100,8,1.0,0.9255263157894736,41450.553641319275
27,CorelDesserts,3,8,100,8,1.0,0.9631578947368422,41782.97017836571
28,CorelDesserts,3,9,100,8,1.0,0.9844736842105263,41501.99087643623
29,CorelDesserts,3,10,100,8,1.0,0.885,40597.17410206795
30,CorelDesserts,4,1,100,8,1.0,0.9463157894736842,40590.21015763283
31,CorelDesserts,4,2,100,8,1.0,0.991578947368421,40635.20312976837
32,CorelDesserts,4,3,100,8,1.0,0.9518421052631579,40600.581891059875
33,CorelDesserts,4,4,100,8,1.0,0.9657894736842105,40965.49223804474
34,CorelDesserts,4,5,100,8,1.0,0.9352631578947369,41129.10230135918
35,CorelDesserts,4,6,100,8,1.0,0.9442105263157894,39888.73225617409
36,CorelDesserts,4,7,100,8,1.0,0.9813157894736841,42436.44672346115
37,CorelDesserts,4,8,100,8,1.0,0.9539473684210525,40081.12422299385
38,CorelDesserts,4,9,100,8,1.0,0.9942105263157895,40388.7023499012
39,CorelDesserts,4,10,100,8,1.0,0.9257894736842105,40644.80341720581
40,CorelDesserts,5,1,100,8,1.0,0.9339473684210526,39537.131120443344
41,CorelDesserts,5,2,100,8,1.0,0.9665789473684212,39427.46555709839
42,CorelDesserts,5,3,100,8,1.0,0.9726315789473684,41243.67693901062
43,CorelDesserts,5,4,100,8,1.0,0.976578947368421,40753.590381622314
44,CorelDesserts,5,5,100,8,1.0,0.9955263157894738,39940.58040142059
45,CorelDesserts,5,6,100,8,1.0,0.9947368421052631,42577.15353727341
46,CorelDesserts,5,7,100,8,1.0,0.9786842105263158,38165.068006038666
47,CorelDesserts,5,8,100,8,1.0,0.9484210526315789,39529.16902422905
48,CorelDesserts,5,9,100,8,1.0,0.9723684210526315,41350.71302843094
49,CorelDesserts,5,10,100,8,1.0,0.9663157894736842,40738.26902627945
