,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,CorelDogs,1,1,100,8,1.0,0.9068421052631579,30135.880255699158
1,CorelDogs,1,2,100,8,1.0,0.8839473684210526,30924.400500297546
2,CorelDogs,1,3,100,8,1.0,0.7881578947368422,30974.055963516235
3,CorelDogs,1,4,100,8,1.0,0.6810526315789474,30609.769854307175
4,CorelDogs,1,5,100,8,1.0,0.8639473684210526,31905.104157209396
5,CorelDogs,1,6,100,8,1.0,0.9268421052631579,30820.14217042923
6,CorelDogs,1,7,100,8,1.0,0.9423684210526315,31592.88964176178
7,CorelDogs,1,8,100,8,1.0,0.8244736842105262,30696.186804056168
8,CorelDogs,1,9,100,8,1.0,0.813421052631579,29740.313866615295
9,CorelDogs,1,10,100,8,1.0,0.8942105263157893,31132.695004940033
10,CorelDogs,2,1,100,8,1.0,0.7260526315789473,30725.722742319107
11,CorelDogs,2,2,100,8,1.0,0.9555263157894737,30415.469851255417
12,CorelDogs,2,3,100,8,1.0,0.9492105263157895,31757.863307237625
13,CorelDogs,2,4,100,8,1.0,0.8752631578947369,33066.0853741169
14,CorelDogs,2,5,100,8,1.0,0.8600000000000001,30753.444945573807
15,CorelDogs,2,6,100,8,1.0,0.8992105263157895,30175.127633571625
16,CorelDogs,2,7,100,8,1.0,0.8123684210526316,30734.562338113785
17,CorelDogs,2,8,100,8,1.0,0.9684210526315788,31707.349336624146
18,CorelDogs,2,9,100,8,1.0,0.9684210526315788,31687.751343250275
19,CorelDogs,2,10,100,8,1.0,0.8013157894736842,31399.025192975998
20,CorelDogs,3,1,100,8,1.0,0.8660526315789474,31228.24977707863
21,CorelDogs,3,2,100,8,1.0,0.8300000000000001,30592.40842294693
22,CorelDogs,3,3,100,8,1.0,0.9086842105263158,31069.366542816162
23,CorelDogs,3,4,100,8,1.0,0.8602631578947367,31066.990088701248
24,CorelDogs,3,5,100,8,1.0,0.8757894736842105,31640.958113908768
25,CorelDogs,3,6,100,8,1.0,0.9573684210526315,30684.749787807465
26,CorelDogs,3,7,100,8,1.0,0.7078947368421052,30440.07999396324
27,CorelDogs,3,8,100,8,1.0,0.8686842105263157,30793.772043943405
28,CorelDogs,3,9,100,8,1.0,0.9310526315789474,30426.943088054657
29,CorelDogs,3,10,100,8,1.0,0.8642105263157893,30436.589155435562
30,CorelDogs,4,1,100,8,1.0,0.7681578947368422,29279.39385175705
31,CorelDogs,4,2,100,8,1.0,0.9223684210526315,30074.694261789322
32,CorelDogs,4,3,100,8,1.0,0.8657894736842106,29568.98534297943
33,CorelDogs,4,4,100,8,1.0,0.8776315789473683,30615.11068725586
34,CorelDogs,4,5,100,8,1.0,0.8831578947368421,31061.75505590439
35,CorelDogs,4,6,100,8,1.0,0.995,30617.67401576042
36,CorelDogs,4,7,100,8,1.0,0.8594736842105263,29280.73653435707
37,CorelDogs,4,8,100,8,1.0,0.8189473684210526,29709.01790380478
38,CorelDogs,4,9,100,8,1.0,0.896578947368421,29827.562580108643
39,CorelDogs,4,10,100,8,1.0,0.8244736842105264,31510.963351726532
40,CorelDogs,5,1,100,8,1.0,0.9034210526315789,30152.251656532288
41,CorelDogs,5,2,100,8,1.0,0.7515789473684211,29786.61522436142
42,CorelDogs,5,3,100,8,1.0,0.9247368421052632,30919.224694013596
43,CorelDogs,5,4,100,8,1.0,0.7794736842105263,30855.7859416008
44,CorelDogs,5,5,100,8,1.0,0.901578947368421,31023.93556046486
45,CorelDogs,5,6,100,8,1.0,0.9055263157894737,29368.84274482727
46,CorelDogs,5,7,100,8,1.0,0.7852631578947369,30829.019837856293
47,CorelDogs,5,8,100,8,1.0,0.8660526315789474,30035.16360616684
48,CorelDogs,5,9,100,8,1.0,0.9484210526315788,30711.974444150925
49,CorelDogs,5,10,100,8,1.0,0.9702631578947369,30275.799947738647
