,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Dark-eyedJunco,1,1,100,8,1.0,1.0,7306.887588739395
1,Dark-eyedJunco,1,2,100,8,1.0,0.9528301886792453,7215.728729009628
2,Dark-eyedJunco,1,3,100,8,1.0,0.9150943396226416,7516.764516115189
3,Dark-eyedJunco,1,4,100,8,1.0,0.9905660377358492,7508.368300914764
4,Dark-eyedJunco,1,5,100,8,1.0,0.9622641509433962,7426.983805656433
5,Dark-eyedJunco,1,6,100,8,1.0,0.8160377358490567,7218.275442361832
6,Dark-eyedJunco,1,7,100,8,1.0,0.9245283018867925,7256.455008506775
7,Dark-eyedJunco,1,8,100,8,1.0,0.9952830188679246,7449.2998015880585
8,Dark-eyedJunco,1,9,100,8,1.0,0.9711538461538461,7396.426066637039
9,Dark-eyedJunco,1,10,100,8,1.0,0.9951923076923078,7211.687012910843
10,Dark-eyedJunco,2,1,100,8,1.0,0.9952830188679245,7473.763961553574
11,Dark-eyedJunco,2,2,100,8,1.0,0.8679245283018868,7166.861164808273
12,Dark-eyedJunco,2,3,100,8,1.0,0.9150943396226415,7651.5632655620575
13,Dark-eyedJunco,2,4,100,8,1.0,0.9339622641509434,7358.350154399872
14,Dark-eyedJunco,2,5,100,8,1.0,0.9952830188679246,7355.760311603546
15,Dark-eyedJunco,2,6,100,8,1.0,0.9716981132075472,7402.769995927811
16,Dark-eyedJunco,2,7,100,8,1.0,0.9386792452830189,7568.617670536041
17,Dark-eyedJunco,2,8,100,8,1.0,1.0,7300.046361684799
18,Dark-eyedJunco,2,9,100,8,1.0,0.9903846153846153,7153.423226118088
19,Dark-eyedJunco,2,10,100,8,1.0,0.9903846153846155,7293.506922483444
20,Dark-eyedJunco,3,1,100,8,1.0,0.9433962264150944,7370.545114278793
21,Dark-eyedJunco,3,2,100,8,1.0,0.929245283018868,7186.349026441574
22,Dark-eyedJunco,3,3,100,8,1.0,0.9622641509433962,7063.738242864609
23,Dark-eyedJunco,3,4,100,8,1.0,0.9811320754716981,7200.306716680527
24,Dark-eyedJunco,3,5,100,8,1.0,0.9858490566037736,7102.239061594009
25,Dark-eyedJunco,3,6,100,8,1.0,1.0,7535.484569311142
26,Dark-eyedJunco,3,7,100,8,1.0,0.8679245283018868,7017.306308507919
27,Dark-eyedJunco,3,8,100,8,1.0,0.9905660377358492,7189.386619567871
28,Dark-eyedJunco,3,9,100,8,1.0,0.9615384615384615,7259.493005037308
29,Dark-eyedJunco,3,10,100,8,1.0,0.9711538461538463,7668.081569194794
30,Dark-eyedJunco,4,1,100,8,1.0,0.9905660377358491,7089.419381141663
31,Dark-eyedJunco,4,2,100,8,1.0,0.8537735849056604,7083.038311004639
32,Dark-eyedJunco,4,3,100,8,1.0,1.0,7270.113886356354
33,Dark-eyedJunco,4,4,100,8,1.0,0.9716981132075473,7056.186193227768
34,Dark-eyedJunco,4,5,100,8,1.0,0.9811320754716981,7123.980494976044
35,Dark-eyedJunco,4,6,100,8,1.0,0.8301886792452831,6823.174882411957
36,Dark-eyedJunco,4,7,100,8,1.0,0.9811320754716981,7097.681242227554
37,Dark-eyedJunco,4,8,100,8,1.0,0.9669811320754718,7490.6852815151215
38,Dark-eyedJunco,4,9,100,8,1.0,0.966346153846154,6949.128951311111
39,Dark-eyedJunco,4,10,100,8,1.0,0.9807692307692308,7577.627610206604
40,Dark-eyedJunco,5,1,100,8,1.0,0.9905660377358492,7619.993103504181
41,Dark-eyedJunco,5,2,100,8,1.0,0.9716981132075472,7508.408654928207
42,Dark-eyedJunco,5,3,100,8,1.0,0.8632075471698114,7002.259294271469
43,Dark-eyedJunco,5,4,100,8,1.0,0.9905660377358492,7534.571791887283
44,Dark-eyedJunco,5,5,100,8,1.0,0.9764150943396226,7060.625312328339
45,Dark-eyedJunco,5,6,100,8,1.0,0.9811320754716981,7370.11220741272
46,Dark-eyedJunco,5,7,100,8,1.0,0.9009433962264151,7009.746596813202
47,Dark-eyedJunco,5,8,100,8,1.0,0.9622641509433962,7169.62628531456
48,Dark-eyedJunco,5,9,100,8,1.0,0.9615384615384615,7377.266986608505
49,Dark-eyedJunco,5,10,100,8,1.0,0.9567307692307692,7369.0387134552
