,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Elephant,1,1,100,8,1.0,0.9000000000000001,4415.167599201202
1,Elephant,1,2,100,8,1.0,0.995,4261.034437417984
2,Elephant,1,3,100,8,1.0,0.88,4421.7200038433075
3,Elephant,1,4,100,8,1.0,0.97,4482.168474197388
4,Elephant,1,5,100,8,1.0,0.78,4269.255376577377
5,Elephant,1,6,100,8,1.0,0.87,4425.909658193588
6,Elephant,1,7,100,8,1.0,0.9199999999999999,4287.439166307449
7,Elephant,1,8,100,8,1.0,0.8400000000000001,4498.88001537323
8,Elephant,1,9,100,8,1.0,0.8900000000000001,4556.9566214084625
9,Elephant,1,10,100,8,1.0,0.8300000000000001,4323.701701879501
10,Elephant,2,1,100,8,1.0,0.91,4584.52742433548
11,Elephant,2,2,100,8,1.0,0.86,4528.931901693344
12,Elephant,2,3,100,8,1.0,0.925,4544.04216337204
13,Elephant,2,4,100,8,1.0,0.935,4552.483892917633
14,Elephant,2,5,100,8,1.0,0.9400000000000001,4452.161010980606
15,Elephant,2,6,100,8,1.0,0.9,4527.403852939606
16,Elephant,2,7,100,8,1.0,0.79,4600.5387263298035
17,Elephant,2,8,100,8,1.0,0.9450000000000001,4452.64639210701
18,Elephant,2,9,100,8,1.0,0.97,4436.881311416626
19,Elephant,2,10,100,8,1.0,0.8450000000000001,4364.733901977539
20,Elephant,3,1,100,8,1.0,0.9200000000000002,4436.782615661621
21,Elephant,3,2,100,8,1.0,0.885,4319.54540514946
22,Elephant,3,3,100,8,1.0,0.97,4373.136438846588
23,Elephant,3,4,100,8,1.0,0.815,4447.079124212265
24,Elephant,3,5,100,8,1.0,0.89,4302.9444324970245
25,Elephant,3,6,100,8,1.0,0.9400000000000001,4443.26106095314
26,Elephant,3,7,100,8,1.0,0.98,4421.952239513397
27,Elephant,3,8,100,8,1.0,0.88,4452.759174108505
28,Elephant,3,9,100,8,1.0,0.71,4415.137556314468
29,Elephant,3,10,100,8,1.0,0.715,4411.98184466362
30,Elephant,4,1,100,8,1.0,0.9750000000000001,4465.048483610153
31,Elephant,4,2,100,8,1.0,0.605,4324.968722820282
32,Elephant,4,3,100,8,1.0,0.9199999999999999,4623.608024120331
33,Elephant,4,4,100,8,1.0,0.94,4684.209563732147
34,Elephant,4,5,100,8,1.0,0.82,4407.4116723537445
35,Elephant,4,6,100,8,1.0,0.93,4220.431827545166
36,Elephant,4,7,100,8,1.0,0.9600000000000001,4526.330650091171
37,Elephant,4,8,100,8,1.0,1.0,4414.225362300873
38,Elephant,4,9,100,8,1.0,0.81,4500.9808666706085
39,Elephant,4,10,100,8,1.0,0.9600000000000001,4489.995504617691
40,Elephant,5,1,100,8,1.0,0.6849999999999999,4512.001054048538
41,Elephant,5,2,100,8,1.0,0.97,4387.103513479233
42,Elephant,5,3,100,8,1.0,0.93,4380.901881694794
43,Elephant,5,4,100,8,1.0,0.91,4456.9261791706085
44,Elephant,5,5,100,8,1.0,0.965,4427.678074598312
45,Elephant,5,6,100,8,1.0,0.84,4524.25941824913
46,Elephant,5,7,100,8,1.0,0.79,4340.979835510254
47,Elephant,5,8,100,8,1.0,0.95,4388.524374485016
48,Elephant,5,9,100,8,1.0,0.925,4583.7185690402985
49,Elephant,5,10,100,8,1.0,0.7849999999999999,4358.391476631165
