,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,HammondsFlycatcher,1,1,100,8,1.0,1.0,5174.174136400223
1,HammondsFlycatcher,1,2,100,8,1.0,1.0,5210.104290485382
2,HammondsFlycatcher,1,3,100,8,1.0,1.0,4871.986400604248
3,HammondsFlycatcher,1,4,100,8,1.0,1.0,4894.610116958618
4,HammondsFlycatcher,1,5,100,8,1.0,1.0,5176.844142913818
5,HammondsFlycatcher,1,6,100,8,1.0,1.0,5224.981053113937
6,HammondsFlycatcher,1,7,100,8,1.0,1.0,5248.748808383942
7,HammondsFlycatcher,1,8,100,8,1.0,1.0,5114.533862113953
8,HammondsFlycatcher,1,9,100,8,1.0,1.0,4935.266534328461
9,HammondsFlycatcher,1,10,100,8,1.0,1.0,4663.859661102295
10,HammondsFlycatcher,2,1,100,8,1.0,1.0,4822.983838319778
11,HammondsFlycatcher,2,2,100,8,1.0,1.0,4613.334037542343
12,HammondsFlycatcher,2,3,100,8,1.0,1.0,4780.221737861633
13,HammondsFlycatcher,2,4,100,8,1.0,1.0,5044.231791496277
14,HammondsFlycatcher,2,5,100,8,1.0,1.0,4891.373985528946
15,HammondsFlycatcher,2,6,100,8,1.0,1.0,4948.257631063461
16,HammondsFlycatcher,2,7,100,8,1.0,1.0,5251.150000572205
17,HammondsFlycatcher,2,8,100,8,1.0,1.0,5066.019182682037
18,HammondsFlycatcher,2,9,100,8,1.0,1.0,5367.452102899551
19,HammondsFlycatcher,2,10,100,8,1.0,1.0,5031.742401838303
20,HammondsFlycatcher,3,1,100,8,1.0,1.0,5011.980271577835
21,HammondsFlycatcher,3,2,100,8,1.0,1.0,4884.528457641602
22,HammondsFlycatcher,3,3,100,8,1.0,1.0,5350.560373306274
23,HammondsFlycatcher,3,4,100,8,1.0,1.0,4970.628007888794
24,HammondsFlycatcher,3,5,100,8,1.0,1.0,5148.074441194534
25,HammondsFlycatcher,3,6,100,8,1.0,1.0,4704.534198999405
26,HammondsFlycatcher,3,7,100,8,1.0,1.0,4864.056215047836
27,HammondsFlycatcher,3,8,100,8,1.0,1.0,5093.89728140831
28,HammondsFlycatcher,3,9,100,8,1.0,1.0,5179.10933804512
29,HammondsFlycatcher,3,10,100,8,1.0,1.0,4849.699915409088
30,HammondsFlycatcher,4,1,100,8,1.0,1.0,5086.262321949005
31,HammondsFlycatcher,4,2,100,8,1.0,1.0,5227.102335214615
32,HammondsFlycatcher,4,3,100,8,1.0,1.0,5177.830890893936
33,HammondsFlycatcher,4,4,100,8,1.0,1.0,5247.329380512238
34,HammondsFlycatcher,4,5,100,8,1.0,1.0,5403.988300323486
35,HammondsFlycatcher,4,6,100,8,1.0,1.0,4984.374173641205
36,HammondsFlycatcher,4,7,100,8,1.0,1.0,5073.76425909996
37,HammondsFlycatcher,4,8,100,8,1.0,1.0,4751.707991838455
38,HammondsFlycatcher,4,9,100,8,1.0,1.0,4935.914565324783
39,HammondsFlycatcher,4,10,100,8,1.0,1.0,5026.270395755768
40,HammondsFlycatcher,5,1,100,8,1.0,1.0,4884.735278129578
41,HammondsFlycatcher,5,2,100,8,1.0,1.0,4940.866368055344
42,HammondsFlycatcher,5,3,100,8,1.0,1.0,5037.832559347153
43,HammondsFlycatcher,5,4,100,8,1.0,1.0,4828.128418922424
44,HammondsFlycatcher,5,5,100,8,1.0,1.0,5010.773497581482
45,HammondsFlycatcher,5,6,100,8,1.0,1.0,5396.757357597351
46,HammondsFlycatcher,5,7,100,8,1.0,1.0,5349.834050655365
47,HammondsFlycatcher,5,8,100,8,1.0,1.0,5329.613924264908
48,HammondsFlycatcher,5,9,100,8,1.0,1.0,4878.261925458908
49,HammondsFlycatcher,5,10,100,8,1.0,1.0,5015.8291211128235
