,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Harddrive1,1,1,100,8,1.0,1.0,7369.706551551819
1,Harddrive1,1,2,100,8,1.0,0.9853801169590644,7078.072550535202
2,Harddrive1,1,3,100,8,1.0,1.0,7646.244765758514
3,Harddrive1,1,4,100,8,1.0,1.0,7195.4241461753845
4,Harddrive1,1,5,100,8,1.0,1.0,7299.13223695755
5,Harddrive1,1,6,100,8,1.0,0.9619883040935673,7333.1218354702
6,Harddrive1,1,7,100,8,1.0,1.0,7968.358592987061
7,Harddrive1,1,8,100,8,1.0,1.0,7629.517520427704
8,Harddrive1,1,9,100,8,1.0,0.9751461988304093,7186.478339672089
9,Harddrive1,1,10,100,8,1.0,0.9783281733746131,7133.73467707634
10,Harddrive1,2,1,100,8,1.0,0.9970588235294118,7113.537786960602
11,Harddrive1,2,2,100,8,1.0,1.0,7265.652400255203
12,Harddrive1,2,3,100,8,1.0,0.9941520467836257,7543.9081354141235
13,Harddrive1,2,4,100,8,1.0,1.0,7558.225122451782
14,Harddrive1,2,5,100,8,1.0,0.986842105263158,7471.663140535355
15,Harddrive1,2,6,100,8,1.0,1.0,7595.811347961426
16,Harddrive1,2,7,100,8,1.0,1.0,7401.116945266724
17,Harddrive1,2,8,100,8,1.0,0.9736842105263158,7346.639194965363
18,Harddrive1,2,9,100,8,1.0,0.9488304093567251,6929.780717849731
19,Harddrive1,2,10,100,8,1.0,0.9984520123839009,7380.098993301392
20,Harddrive1,3,1,100,8,1.0,0.9955882352941176,7113.050850868225
21,Harddrive1,3,2,100,8,1.0,0.9678362573099416,7139.014314651489
22,Harddrive1,3,3,100,8,1.0,1.0,7397.613036870956
23,Harddrive1,3,4,100,8,1.0,1.0,7292.939946889877
24,Harddrive1,3,5,100,8,1.0,1.0,7330.427038669586
25,Harddrive1,3,6,100,8,1.0,1.0,7937.9301335811615
26,Harddrive1,3,7,100,8,1.0,0.9970760233918128,7432.926481962204
27,Harddrive1,3,8,100,8,1.0,0.9590643274853801,7318.651074171066
28,Harddrive1,3,9,100,8,1.0,0.9941520467836258,6955.208450317383
29,Harddrive1,3,10,100,8,1.0,0.9845201238390092,7464.244665384293
30,Harddrive1,4,1,100,8,1.0,0.9647058823529411,6563.101099729538
31,Harddrive1,4,2,100,8,1.0,1.0,6893.5434057712555
32,Harddrive1,4,3,100,8,1.0,0.9926900584795322,7266.870304822922
33,Harddrive1,4,4,100,8,1.0,0.9985380116959064,7346.358570575714
34,Harddrive1,4,5,100,8,1.0,1.0,7180.387546777725
35,Harddrive1,4,6,100,8,1.0,0.9970760233918129,7061.397712230682
36,Harddrive1,4,7,100,8,1.0,1.0,7276.279489994049
37,Harddrive1,4,8,100,8,1.0,1.0,6578.848125696182
38,Harddrive1,4,9,100,8,1.0,0.9897660818713451,7175.907520294189
39,Harddrive1,4,10,100,8,1.0,1.0,7144.125638246536
40,Harddrive1,5,1,100,8,1.0,0.9941176470588234,7258.650002479553
41,Harddrive1,5,2,100,8,1.0,1.0,6960.223951101303
42,Harddrive1,5,3,100,8,1.0,0.9970760233918129,6802.0897471904755
43,Harddrive1,5,4,100,8,1.0,0.9883040935672515,6671.799339056015
44,Harddrive1,5,5,100,8,1.0,0.9853801169590644,6877.3671002388
45,Harddrive1,5,6,100,8,1.0,0.956140350877193,6654.998018026352
46,Harddrive1,5,7,100,8,1.0,0.9970760233918129,7478.247016906738
47,Harddrive1,5,8,100,8,1.0,0.989766081871345,7036.456163406372
48,Harddrive1,5,9,100,8,1.0,1.0,7549.067034244537
49,Harddrive1,5,10,100,8,1.0,0.9829721362229102,7045.58394575119
