,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,HermitThrush,1,1,100,8,1.0,0.6415094339622642,7299.25695514679
1,HermitThrush,1,2,100,8,1.0,0.6603773584905661,7183.65184378624
2,HermitThrush,1,3,100,8,1.0,0.6886792452830188,7248.525560379028
3,HermitThrush,1,4,100,8,1.0,0.6179245283018868,7301.306365013123
4,HermitThrush,1,5,100,8,1.0,1.0,6971.6424922943115
5,HermitThrush,1,6,100,8,1.0,0.8333333333333333,7542.737544059753
6,HermitThrush,1,7,100,8,1.0,0.9722222222222221,7186.254717826843
7,HermitThrush,1,8,100,8,1.0,0.9907407407407408,7717.750537633896
8,HermitThrush,1,9,100,8,1.0,0.339622641509434,7348.2847311496735
9,HermitThrush,1,10,100,8,1.0,0.839622641509434,7365.006831645966
10,HermitThrush,2,1,100,8,1.0,0.5801886792452831,7510.302393198013
11,HermitThrush,2,2,100,8,1.0,0.7971698113207548,6448.163272619247
12,HermitThrush,2,3,100,8,1.0,0.9433962264150944,7689.767714977264
13,HermitThrush,2,4,100,8,1.0,0.5990566037735849,6810.217863082886
14,HermitThrush,2,5,100,8,1.0,0.9764150943396226,6963.635524749756
15,HermitThrush,2,6,100,8,1.0,0.7407407407407407,7357.110630750656
16,HermitThrush,2,7,100,8,1.0,0.9907407407407407,7696.103135347366
17,HermitThrush,2,8,100,8,1.0,1.0,7433.775554180145
18,HermitThrush,2,9,100,8,1.0,0.9905660377358491,7168.032085418701
19,HermitThrush,2,10,100,8,1.0,0.3113207547169811,7012.659309625626
20,HermitThrush,3,1,100,8,1.0,0.3018867924528302,6252.465018987656
21,HermitThrush,3,2,100,8,1.0,0.6509433962264151,7790.28364610672
22,HermitThrush,3,3,100,8,1.0,0.9433962264150944,7022.752689838409
23,HermitThrush,3,4,100,8,1.0,0.9622641509433962,7131.8697690963745
24,HermitThrush,3,5,100,8,1.0,0.5943396226415095,7568.480199098587
25,HermitThrush,3,6,100,8,1.0,1.0,7871.420834302902
26,HermitThrush,3,7,100,8,1.0,0.9444444444444444,7073.832863330841
27,HermitThrush,3,8,100,8,1.0,1.0,7404.760262489319
28,HermitThrush,3,9,100,8,1.0,0.9150943396226415,8294.114650249481
29,HermitThrush,3,10,100,8,1.0,0.9622641509433962,7473.946256399155
30,HermitThrush,4,1,100,8,1.0,0.6556603773584906,7148.975076675415
31,HermitThrush,4,2,100,8,1.0,0.33018867924528306,6498.46804356575
32,HermitThrush,4,3,100,8,1.0,0.9716981132075473,7445.117314815521
33,HermitThrush,4,4,100,8,1.0,0.669811320754717,6638.342531204224
34,HermitThrush,4,5,100,8,1.0,0.929245283018868,6771.247198104858
35,HermitThrush,4,6,100,8,1.0,0.9629629629629629,7433.543711185455
36,HermitThrush,4,7,100,8,1.0,0.7962962962962963,7702.023047924042
37,HermitThrush,4,8,100,8,1.0,0.7407407407407407,7505.770600318909
38,HermitThrush,4,9,100,8,1.0,0.8301886792452831,7501.666189432144
39,HermitThrush,4,10,100,8,1.0,1.0,7254.49339056015
40,HermitThrush,5,1,100,8,1.0,0.5235849056603774,6451.166885852814
41,HermitThrush,5,2,100,8,1.0,0.6320754716981132,7411.778331518173
42,HermitThrush,5,3,100,8,1.0,0.9292452830188679,6892.28976392746
43,HermitThrush,5,4,100,8,1.0,0.9764150943396227,7216.2184278965
44,HermitThrush,5,5,100,8,1.0,0.6603773584905661,7672.149785995483
45,HermitThrush,5,6,100,8,1.0,0.9351851851851851,7426.11039686203
46,HermitThrush,5,7,100,8,1.0,0.9814814814814815,8180.458103895187
47,HermitThrush,5,8,100,8,1.0,1.0,7714.553976774216
48,HermitThrush,5,9,100,8,1.0,0.8301886792452831,7785.785703897476
49,HermitThrush,5,10,100,8,1.0,0.8867924528301887,7447.178852319717
