,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,HermitWarbler,1,1,100,8,1.0,0.9866071428571428,9185.51928973198
1,HermitWarbler,1,2,100,8,1.0,0.9642857142857143,9297.840332508087
2,HermitWarbler,1,3,100,8,1.0,1.0,9342.114560604095
3,HermitWarbler,1,4,100,8,1.0,0.9829931972789115,9268.072835683823
4,HermitWarbler,1,5,100,8,1.0,0.9931972789115646,9164.409881353378
5,HermitWarbler,1,6,100,8,1.0,0.9965986394557823,9432.747143745422
6,HermitWarbler,1,7,100,8,1.0,0.9727891156462586,9358.454923152924
7,HermitWarbler,1,8,100,8,1.0,0.9744897959183674,9281.917177677155
8,HermitWarbler,1,9,100,8,1.0,0.9913194444444444,9078.914245605469
9,HermitWarbler,1,10,100,8,1.0,0.9895833333333333,9432.539137601852
10,HermitWarbler,2,1,100,8,1.0,1.0,9587.658922433853
11,HermitWarbler,2,2,100,8,1.0,0.9970238095238095,9198.762134075165
12,HermitWarbler,2,3,100,8,1.0,0.9895833333333335,9594.38973069191
13,HermitWarbler,2,4,100,8,1.0,0.9727891156462586,9500.571913719177
14,HermitWarbler,2,5,100,8,1.0,1.0,9291.289551019669
15,HermitWarbler,2,6,100,8,1.0,0.9795918367346939,9304.660175800323
16,HermitWarbler,2,7,100,8,1.0,0.9659863945578231,8883.44406580925
17,HermitWarbler,2,8,100,8,1.0,0.9778911564625851,9303.45655632019
18,HermitWarbler,2,9,100,8,1.0,0.96875,8874.895655632019
19,HermitWarbler,2,10,100,8,1.0,0.9756944444444444,9318.433995723724
20,HermitWarbler,3,1,100,8,1.0,0.9866071428571429,9457.131875514984
21,HermitWarbler,3,2,100,8,1.0,0.9999999999999999,9478.215279817581
22,HermitWarbler,3,3,100,8,1.0,0.9568452380952381,9207.522091388702
23,HermitWarbler,3,4,100,8,1.0,0.95578231292517,9012.013602256775
24,HermitWarbler,3,5,100,8,1.0,0.9931972789115646,9560.862822294235
25,HermitWarbler,3,6,100,8,1.0,0.9965986394557823,9434.074830770493
26,HermitWarbler,3,7,100,8,1.0,0.979591836734694,9498.043185949326
27,HermitWarbler,3,8,100,8,1.0,0.9897959183673469,9599.578680992126
28,HermitWarbler,3,9,100,8,1.0,0.9895833333333334,9725.523565292358
29,HermitWarbler,3,10,100,8,1.0,0.9861111111111112,9517.151430130005
30,HermitWarbler,4,1,100,8,1.0,0.9940476190476191,9495.656835794449
31,HermitWarbler,4,2,100,8,1.0,0.9821428571428572,9305.210679292679
32,HermitWarbler,4,3,100,8,1.0,0.9910714285714286,9260.255043268204
33,HermitWarbler,4,4,100,8,1.0,1.0,9414.777387142181
34,HermitWarbler,4,5,100,8,1.0,0.9931972789115646,9894.221018314362
35,HermitWarbler,4,6,100,8,1.0,0.9761904761904762,9088.76812696457
36,HermitWarbler,4,7,100,8,1.0,0.9897959183673469,9072.584043502808
37,HermitWarbler,4,8,100,8,1.0,0.9965986394557823,9400.08386015892
38,HermitWarbler,4,9,100,8,1.0,0.9791666666666666,9736.681248664856
39,HermitWarbler,4,10,100,8,1.0,0.9496527777777778,9707.420394182205
40,HermitWarbler,5,1,100,8,1.0,0.9702380952380953,9512.680031061172
41,HermitWarbler,5,2,100,8,1.0,0.9687499999999999,8379.718764305115
42,HermitWarbler,5,3,100,8,1.0,1.0,9543.636845827103
43,HermitWarbler,5,4,100,8,1.0,0.9897959183673469,9517.144428253174
44,HermitWarbler,5,5,100,8,1.0,0.9829931972789117,9530.181335926056
45,HermitWarbler,5,6,100,8,1.0,0.9727891156462585,9148.833767175674
46,HermitWarbler,5,7,100,8,1.0,0.9795918367346939,9587.130312204361
47,HermitWarbler,5,8,100,8,1.0,0.9931972789115646,9259.319271564484
48,HermitWarbler,5,9,100,8,1.0,1.0,9384.068807125092
49,HermitWarbler,5,10,100,8,1.0,0.96875,9497.189365148544
