,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Musk1,1,1,100,8,1.0,1.0,1991.213032245636
1,Musk1,1,2,100,8,1.0,1.0,2043.2733252048492
2,Musk1,1,3,100,8,1.0,0.8500000000000001,1851.6582958698273
3,Musk1,1,4,100,8,1.0,0.9,1876.8715193271637
4,Musk1,1,5,100,8,1.0,1.0,2018.0617220401764
5,Musk1,1,6,100,8,1.0,0.95,2090.814257621765
6,Musk1,1,7,100,8,1.0,0.9,1958.6941483020782
7,Musk1,1,8,100,8,1.0,1.0,1979.0627937316895
8,Musk1,1,9,100,8,1.0,0.85,1876.4263215065002
9,Musk1,1,10,100,8,1.0,1.0,2038.7089788913727
10,Musk1,2,1,100,8,1.0,1.0,2100.8684577941895
11,Musk1,2,2,100,8,1.0,0.92,2111.3616349697113
12,Musk1,2,3,100,8,1.0,0.8500000000000001,2027.364741563797
13,Musk1,2,4,100,8,1.0,0.9,1991.2447402477264
14,Musk1,2,5,100,8,1.0,0.85,2122.282944917679
15,Musk1,2,6,100,8,1.0,0.9,1890.6681866645813
16,Musk1,2,7,100,8,1.0,1.0,2120.6345884799957
17,Musk1,2,8,100,8,1.0,0.9500000000000001,2188.880982875824
18,Musk1,2,9,100,8,1.0,1.0,2127.3195929527283
19,Musk1,2,10,100,8,1.0,1.0,1943.665617465973
20,Musk1,3,1,100,8,1.0,1.0,2047.3152465820312
21,Musk1,3,2,100,8,1.0,1.0,2035.8922452926636
22,Musk1,3,3,100,8,1.0,0.95,1992.1558799743652
23,Musk1,3,4,100,8,1.0,1.0,2031.9746804237366
24,Musk1,3,5,100,8,1.0,0.8,1810.0933933258057
25,Musk1,3,6,100,8,1.0,1.0,1913.889641046524
26,Musk1,3,7,100,8,1.0,1.0,2138.714719057083
27,Musk1,3,8,100,8,1.0,0.9500000000000001,2014.146436214447
28,Musk1,3,9,100,8,1.0,0.8,1906.4465260505676
29,Musk1,3,10,100,8,1.0,0.9,1867.7173247337341
30,Musk1,4,1,100,8,1.0,0.88,1933.4137470722198
31,Musk1,4,2,100,8,1.0,1.0,1984.9202253818512
32,Musk1,4,3,100,8,1.0,0.8,1792.9677188396454
33,Musk1,4,4,100,8,1.0,0.95,1943.0532460212708
34,Musk1,4,5,100,8,1.0,0.975,1993.860038280487
35,Musk1,4,6,100,8,1.0,1.0,2039.0584173202515
36,Musk1,4,7,100,8,1.0,1.0,1992.8676631450653
37,Musk1,4,8,100,8,1.0,1.0,1992.4942059516907
38,Musk1,4,9,100,8,1.0,1.0,2015.0557146072388
39,Musk1,4,10,100,8,1.0,0.85,1979.5767753124237
40,Musk1,5,1,100,8,1.0,1.0,1991.5077455043793
41,Musk1,5,2,100,8,1.0,0.92,1892.4124896526337
42,Musk1,5,3,100,8,1.0,1.0,2078.5565991401672
43,Musk1,5,4,100,8,1.0,1.0,2018.5047280788422
44,Musk1,5,5,100,8,1.0,0.725,1822.8324341773987
45,Musk1,5,6,100,8,1.0,0.925,1903.0340511798859
46,Musk1,5,7,100,8,1.0,0.8500000000000001,2156.601400375366
47,Musk1,5,8,100,8,1.0,1.0,2061.6175951957703
48,Musk1,5,9,100,8,1.0,1.0,2153.591339111328
49,Musk1,5,10,100,8,1.0,1.0,2102.443519592285
