,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Mutagenesis1,1,1,100,8,1.0,0.9487179487179488,4291.607205629349
1,Mutagenesis1,1,2,100,8,1.0,1.0,4135.801084518433
2,Mutagenesis1,1,3,100,8,1.0,0.9294871794871795,4229.780428647995
3,Mutagenesis1,1,4,100,8,1.0,0.9871794871794872,4103.203415155411
4,Mutagenesis1,1,5,100,8,1.0,0.794871794871795,4096.054689645767
5,Mutagenesis1,1,6,100,8,1.0,0.8571428571428571,4047.82280087471
6,Mutagenesis1,1,7,100,8,1.0,1.0,4197.217863321304
7,Mutagenesis1,1,8,100,8,1.0,0.9642857142857143,3973.1407418251038
8,Mutagenesis1,1,9,100,8,1.0,0.7083333333333334,3997.462427139282
9,Mutagenesis1,1,10,100,8,1.0,1.0,4112.739453554153
10,Mutagenesis1,2,1,100,8,1.0,0.9871794871794872,4027.157322406769
11,Mutagenesis1,2,2,100,8,1.0,0.7179487179487181,3999.19993019104
12,Mutagenesis1,2,3,100,8,1.0,1.0,4040.586757183075
13,Mutagenesis1,2,4,100,8,1.0,0.9743589743589743,4015.7990033626556
14,Mutagenesis1,2,5,100,8,1.0,0.7820512820512822,4069.9989154338837
15,Mutagenesis1,2,6,100,8,1.0,0.9761904761904762,4101.812120676041
16,Mutagenesis1,2,7,100,8,1.0,0.9880952380952381,3966.77627491951
17,Mutagenesis1,2,8,100,8,1.0,0.8749999999999999,4167.492406129837
18,Mutagenesis1,2,9,100,8,1.0,0.8541666666666667,4033.771553993225
19,Mutagenesis1,2,10,100,8,1.0,0.9375,4033.9298934936523
20,Mutagenesis1,3,1,100,8,1.0,0.9615384615384616,4036.8308148384094
21,Mutagenesis1,3,2,100,8,1.0,0.8974358974358975,4010.273503780365
22,Mutagenesis1,3,3,100,8,1.0,1.0,4103.8521020412445
23,Mutagenesis1,3,4,100,8,1.0,0.8717948717948719,3953.6049757003784
24,Mutagenesis1,3,5,100,8,1.0,0.9487179487179488,4062.304705142975
25,Mutagenesis1,3,6,100,8,1.0,0.9702380952380952,3989.9680976867676
26,Mutagenesis1,3,7,100,8,1.0,1.0,4077.1073100566864
27,Mutagenesis1,3,8,100,8,1.0,0.8273809523809523,3981.4993059635162
28,Mutagenesis1,3,9,100,8,1.0,0.8333333333333334,3998.729853630066
29,Mutagenesis1,3,10,100,8,1.0,0.8402777777777778,3897.5849285125732
30,Mutagenesis1,4,1,100,8,1.0,0.8141025641025642,3864.724744081497
31,Mutagenesis1,4,2,100,8,1.0,0.9294871794871795,4186.67781996727
32,Mutagenesis1,4,3,100,8,1.0,0.9615384615384616,4089.0401813983917
33,Mutagenesis1,4,4,100,8,1.0,0.8846153846153847,3967.607117176056
34,Mutagenesis1,4,5,100,8,1.0,0.858974358974359,3951.7394766807556
35,Mutagenesis1,4,6,100,8,1.0,1.0,4044.4755589962006
36,Mutagenesis1,4,7,100,8,1.0,0.988095238095238,4158.467983961105
37,Mutagenesis1,4,8,100,8,1.0,0.8333333333333333,3817.352543115616
38,Mutagenesis1,4,9,100,8,1.0,1.0,4054.0609657764435
39,Mutagenesis1,4,10,100,8,1.0,0.9930555555555556,4145.274938106537
40,Mutagenesis1,5,1,100,8,1.0,0.9743589743589745,4048.220353603363
41,Mutagenesis1,5,2,100,8,1.0,0.9230769230769231,3920.4046618938446
42,Mutagenesis1,5,3,100,8,1.0,0.9615384615384616,4014.151351213455
43,Mutagenesis1,5,4,100,8,1.0,1.0,4142.8770389556885
44,Mutagenesis1,5,5,100,8,1.0,0.6410256410256412,3829.967380285263
45,Mutagenesis1,5,6,100,8,1.0,0.8452380952380952,3881.068466424942
46,Mutagenesis1,5,7,100,8,1.0,0.9285714285714285,3753.248525619507
47,Mutagenesis1,5,8,100,8,1.0,1.0,4152.102233886719
48,Mutagenesis1,5,9,100,8,1.0,1.0,4195.625597476959
49,Mutagenesis1,5,10,100,8,1.0,0.888888888888889,4143.98846578598
