,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Mutagenesis2,1,1,100,8,1.0,1.0,386.798725605011
1,Mutagenesis2,1,2,100,8,1.0,1.0,443.78609323501587
2,Mutagenesis2,1,3,100,8,1.0,0.75,369.51024413108826
3,Mutagenesis2,1,4,100,8,1.0,1.0,459.71605372428894
4,Mutagenesis2,1,5,100,8,1.0,1.0,422.2532777786255
5,Mutagenesis2,1,6,100,8,1.0,1.0,461.03045868873596
6,Mutagenesis2,1,7,100,8,1.0,0.6666666666666667,427.31734323501587
7,Mutagenesis2,1,8,100,8,1.0,0.5,410.62918734550476
8,Mutagenesis2,1,9,100,8,1.0,1.0,400.98879742622375
9,Mutagenesis2,1,10,100,8,1.0,1.0,443.7931637763977
10,Mutagenesis2,2,1,100,8,1.0,0.33333333333333337,403.9356200695038
11,Mutagenesis2,2,2,100,8,1.0,1.0,461.46291184425354
12,Mutagenesis2,2,3,100,8,1.0,1.0,403.26934838294983
13,Mutagenesis2,2,4,100,8,1.0,1.0,423.4805393218994
14,Mutagenesis2,2,5,100,8,1.0,0.33333333333333337,416.14703369140625
15,Mutagenesis2,2,6,100,8,1.0,0.33333333333333337,383.4417140483856
16,Mutagenesis2,2,7,100,8,1.0,0.33333333333333337,399.8272216320038
17,Mutagenesis2,2,8,100,8,1.0,0.16666666666666669,431.6488473415375
18,Mutagenesis2,2,9,100,8,1.0,1.0,512.860152721405
19,Mutagenesis2,2,10,100,8,1.0,1.0,496.3639130592346
20,Mutagenesis2,3,1,100,8,1.0,0.6666666666666667,416.38071060180664
21,Mutagenesis2,3,2,100,8,1.0,0.8333333333333334,352.5822937488556
22,Mutagenesis2,3,3,100,8,1.0,1.0,461.42737078666687
23,Mutagenesis2,3,4,100,8,1.0,1.0,451.29940700531006
24,Mutagenesis2,3,5,100,8,1.0,1.0,470.91685581207275
25,Mutagenesis2,3,6,100,8,1.0,0.33333333333333337,421.14874505996704
26,Mutagenesis2,3,7,100,8,1.0,1.0,474.83502173423767
27,Mutagenesis2,3,8,100,8,1.0,0.6666666666666667,426.74704813957214
28,Mutagenesis2,3,9,100,8,1.0,0.6666666666666667,431.5185308456421
29,Mutagenesis2,3,10,100,8,1.0,0.6666666666666667,402.3765754699707
30,Mutagenesis2,4,1,100,8,1.0,0.33333333333333337,333.8566646575928
31,Mutagenesis2,4,2,100,8,1.0,0.8333333333333334,371.7668180465698
32,Mutagenesis2,4,3,100,8,1.0,0.75,336.61729431152344
33,Mutagenesis2,4,4,100,8,1.0,0.6666666666666667,474.7322487831116
34,Mutagenesis2,4,5,100,8,1.0,0.6666666666666667,446.0407884120941
35,Mutagenesis2,4,6,100,8,1.0,1.0,465.21830201148987
36,Mutagenesis2,4,7,100,8,1.0,1.0,449.82086277008057
37,Mutagenesis2,4,8,100,8,1.0,1.0,524.5922162532806
38,Mutagenesis2,4,9,100,8,1.0,1.0,398.8800165653229
39,Mutagenesis2,4,10,100,8,1.0,1.0,477.7228219509125
40,Mutagenesis2,5,1,100,8,1.0,1.0,457.8480956554413
41,Mutagenesis2,5,2,100,8,1.0,1.0,490.43489384651184
42,Mutagenesis2,5,3,100,8,1.0,0.5,403.71393728256226
43,Mutagenesis2,5,4,100,8,1.0,0.33333333333333337,477.9535994529724
44,Mutagenesis2,5,5,100,8,1.0,1.0,398.20983481407166
45,Mutagenesis2,5,6,100,8,1.0,0.16666666666666669,370.84321904182434
46,Mutagenesis2,5,7,100,8,1.0,0.6666666666666667,494.1323609352112
47,Mutagenesis2,5,8,100,8,1.0,1.0,503.26748156547546
48,Mutagenesis2,5,9,100,8,1.0,1.0,388.74721670150757
49,Mutagenesis2,5,10,100,8,1.0,1.0,436.6117193698883
