,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Newsgroups16,1,1,100,16,0.9,0.8400000000000001,1594.5839989185333
1,Newsgroups16,1,2,100,16,0.9,0.62,1518.558794260025
2,Newsgroups16,1,3,100,16,0.9,0.9600000000000001,1670.049327135086
3,Newsgroups16,1,4,100,16,0.9,0.8200000000000001,1596.2719399929047
4,Newsgroups16,1,5,100,16,0.9,1.0,1714.4897954463959
5,Newsgroups16,1,6,100,16,0.9,1.0,1647.5884096622467
6,Newsgroups16,1,7,100,16,0.9,0.7600000000000001,1605.7950201034546
7,Newsgroups16,1,8,100,16,0.9,1.0,1733.7863845825195
8,Newsgroups16,1,9,100,16,0.9,0.8400000000000001,1779.1905605793
9,Newsgroups16,1,10,100,16,0.9,0.8400000000000001,1755.4692187309265
10,Newsgroups16,2,1,100,16,0.9,0.92,1798.560832977295
11,Newsgroups16,2,2,100,16,0.9,0.8400000000000001,1709.7513082027435
12,Newsgroups16,2,3,100,16,0.9,0.68,1694.4598212242126
13,Newsgroups16,2,4,100,16,0.9,0.8200000000000001,1735.982029914856
14,Newsgroups16,2,5,100,16,0.9,0.8,1759.4888117313385
15,Newsgroups16,2,6,100,16,0.9,1.0,1785.2730333805084
16,Newsgroups16,2,7,100,16,0.9,1.0,1874.050609588623
17,Newsgroups16,2,8,100,16,0.9,0.88,1689.5748765468597
18,Newsgroups16,2,9,100,16,0.9,0.8200000000000001,1704.824410200119
19,Newsgroups16,2,10,100,16,0.9,0.8400000000000001,1665.6395335197449
20,Newsgroups16,3,1,100,16,0.9,0.8200000000000001,1777.3817434310913
21,Newsgroups16,3,2,100,16,0.9,0.8400000000000001,1751.6114094257355
22,Newsgroups16,3,3,100,16,0.9,1.0,1782.2646474838257
23,Newsgroups16,3,4,100,16,0.9,0.8,1718.1097991466522
24,Newsgroups16,3,5,100,16,0.9,0.76,1781.7901937961578
25,Newsgroups16,3,6,100,16,0.9,0.8200000000000001,1801.0103833675385
26,Newsgroups16,3,7,100,16,0.9,0.8,1709.9871244430542
27,Newsgroups16,3,8,100,16,0.9,0.8400000000000001,1725.534595489502
28,Newsgroups16,3,9,100,16,0.9,1.0,1826.9557218551636
29,Newsgroups16,3,10,100,16,0.9,1.0,1773.518984079361
30,Newsgroups16,4,1,100,16,0.9,0.86,1721.6384739875793
31,Newsgroups16,4,2,100,16,0.9,1.0,1861.938328742981
32,Newsgroups16,4,3,100,16,0.9,0.8400000000000001,1781.534675836563
33,Newsgroups16,4,4,100,16,0.9,0.9600000000000001,1734.3916535377502
34,Newsgroups16,4,5,100,16,0.9,0.76,1642.326670408249
35,Newsgroups16,4,6,100,16,0.9,1.0,1702.3452229499817
36,Newsgroups16,4,7,100,16,0.9,0.8,1735.1971545219421
37,Newsgroups16,4,8,100,16,0.9,0.88,1766.7362356185913
38,Newsgroups16,4,9,100,16,0.9,0.88,1760.0074818134308
39,Newsgroups16,4,10,100,16,0.9,1.0,1847.4933190345764
40,Newsgroups16,5,1,100,16,0.9,0.9199999999999999,1795.5647122859955
41,Newsgroups16,5,2,100,16,0.9,0.9600000000000001,1794.5576791763306
42,Newsgroups16,5,3,100,16,0.9,0.78,1701.4062628746033
43,Newsgroups16,5,4,100,16,0.9,0.6599999999999999,1701.5141804218292
44,Newsgroups16,5,5,100,16,0.9,0.78,1755.0413370132446
45,Newsgroups16,5,6,100,16,0.9,0.8,1784.5060877799988
46,Newsgroups16,5,7,100,16,0.9,1.0,1881.5524621009827
47,Newsgroups16,5,8,100,16,0.9,1.0,1788.7714054584503
48,Newsgroups16,5,9,100,16,0.9,0.8400000000000001,1793.0968475341797
49,Newsgroups16,5,10,100,16,0.9,0.8400000000000001,1756.814352273941
