,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Olive-sidedFlycatcher,1,1,100,8,1.0,0.9806763285024156,5679.902879714966
1,Olive-sidedFlycatcher,1,2,100,8,1.0,0.9806763285024154,6118.027490615845
2,Olive-sidedFlycatcher,1,3,100,8,1.0,0.9806763285024154,5555.133565187454
3,Olive-sidedFlycatcher,1,4,100,8,1.0,0.9516908212560387,6291.633018016815
4,Olive-sidedFlycatcher,1,5,100,8,1.0,0.995169082125604,5375.511645555496
5,Olive-sidedFlycatcher,1,6,100,8,1.0,0.9118357487922706,5339.03456568718
6,Olive-sidedFlycatcher,1,7,100,8,1.0,0.9903381642512077,5739.665027618408
7,Olive-sidedFlycatcher,1,8,100,8,1.0,0.9142512077294687,5420.246613502502
8,Olive-sidedFlycatcher,1,9,100,8,1.0,0.9876543209876544,5503.962249517441
9,Olive-sidedFlycatcher,1,10,100,8,1.0,0.9777777777777777,5770.837443828583
10,Olive-sidedFlycatcher,2,1,100,8,1.0,0.9504830917874396,5429.105428695679
11,Olive-sidedFlycatcher,2,2,100,8,1.0,0.9710144927536232,5424.529100894928
12,Olive-sidedFlycatcher,2,3,100,8,1.0,0.9710144927536233,5402.285188436508
13,Olive-sidedFlycatcher,2,4,100,8,1.0,0.9601449275362318,5580.657649040222
14,Olive-sidedFlycatcher,2,5,100,8,1.0,0.9903381642512078,5946.455924034119
15,Olive-sidedFlycatcher,2,6,100,8,1.0,0.9903381642512077,5481.642199754715
16,Olive-sidedFlycatcher,2,7,100,8,1.0,0.9480676328502415,5271.379505872726
17,Olive-sidedFlycatcher,2,8,100,8,1.0,0.9287439613526569,5222.319963693619
18,Olive-sidedFlycatcher,2,9,100,8,1.0,0.9740740740740741,5497.605071306229
19,Olive-sidedFlycatcher,2,10,100,8,1.0,0.9802469135802468,6379.443613052368
20,Olive-sidedFlycatcher,3,1,100,8,1.0,0.995169082125604,5955.268839597702
21,Olive-sidedFlycatcher,3,2,100,8,1.0,0.9722222222222222,6040.195546388626
22,Olive-sidedFlycatcher,3,3,100,8,1.0,0.9516908212560387,5388.825719118118
23,Olive-sidedFlycatcher,3,4,100,8,1.0,0.9879227053140096,5439.052223443985
24,Olive-sidedFlycatcher,3,5,100,8,1.0,0.9541062801932367,5316.788820743561
25,Olive-sidedFlycatcher,3,6,100,8,1.0,0.9806763285024154,5584.076003551483
26,Olive-sidedFlycatcher,3,7,100,8,1.0,0.9528985507246377,5584.043318271637
27,Olive-sidedFlycatcher,3,8,100,8,1.0,0.9734299516908212,5546.0330011844635
28,Olive-sidedFlycatcher,3,9,100,8,1.0,0.9938271604938271,5355.413936138153
29,Olive-sidedFlycatcher,3,10,100,8,1.0,0.9061728395061728,5707.02033495903
30,Olive-sidedFlycatcher,4,1,100,8,1.0,0.926328502415459,5636.303969860077
31,Olive-sidedFlycatcher,4,2,100,8,1.0,0.9722222222222222,5717.3850004673
32,Olive-sidedFlycatcher,4,3,100,8,1.0,0.964975845410628,5332.969444513321
33,Olive-sidedFlycatcher,4,4,100,8,1.0,0.9879227053140096,5774.527730703354
34,Olive-sidedFlycatcher,4,5,100,8,1.0,0.9673913043478262,5348.292283296585
35,Olive-sidedFlycatcher,4,6,100,8,1.0,0.9867149758454107,5134.436994552612
36,Olive-sidedFlycatcher,4,7,100,8,1.0,0.9710144927536232,5373.083137273788
37,Olive-sidedFlycatcher,4,8,100,8,1.0,0.9818840579710145,5460.607466936111
38,Olive-sidedFlycatcher,4,9,100,8,1.0,0.9901234567901235,5666.002546787262
39,Olive-sidedFlycatcher,4,10,100,8,1.0,0.9679012345679012,5514.655877590179
40,Olive-sidedFlycatcher,5,1,100,8,1.0,0.9601449275362319,5158.588336467743
41,Olive-sidedFlycatcher,5,2,100,8,1.0,0.9239130434782609,5556.426889419556
42,Olive-sidedFlycatcher,5,3,100,8,1.0,0.9698067632850241,5372.983899116516
43,Olive-sidedFlycatcher,5,4,100,8,1.0,0.9806763285024156,5679.078118801117
44,Olive-sidedFlycatcher,5,5,100,8,1.0,0.9601449275362319,5535.487269639969
45,Olive-sidedFlycatcher,5,6,100,8,1.0,0.9553140096618358,5931.396269321442
46,Olive-sidedFlycatcher,5,7,100,8,1.0,1.0,5973.271295070648
47,Olive-sidedFlycatcher,5,8,100,8,1.0,0.961352657004831,5453.808503627777
48,Olive-sidedFlycatcher,5,9,100,8,1.0,0.954320987654321,5321.373558998108
49,Olive-sidedFlycatcher,5,10,100,8,1.0,0.9777777777777779,5447.565865516663
