,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,PacificslopeFlycatcher,1,1,100,8,1.0,0.93343653250774,9003.267791509628
1,PacificslopeFlycatcher,1,2,100,8,1.0,0.9125386996904025,9148.217557668686
2,PacificslopeFlycatcher,1,3,100,8,1.0,0.9860681114551084,8853.564901828766
3,PacificslopeFlycatcher,1,4,100,8,1.0,0.9821981424148607,9333.02381658554
4,PacificslopeFlycatcher,1,5,100,8,1.0,0.9837461300309597,9413.540652990341
5,PacificslopeFlycatcher,1,6,100,8,1.0,0.9639423076923077,9455.445758342743
6,PacificslopeFlycatcher,1,7,100,8,1.0,0.9166666666666666,9066.934340000153
7,PacificslopeFlycatcher,1,8,100,8,1.0,0.9158653846153847,9016.782236337662
8,PacificslopeFlycatcher,1,9,100,8,1.0,0.9424342105263157,8973.337489128113
9,PacificslopeFlycatcher,1,10,100,8,1.0,0.9572368421052632,9149.780245542526
10,PacificslopeFlycatcher,2,1,100,8,1.0,0.8931888544891641,9076.966401576996
11,PacificslopeFlycatcher,2,2,100,8,1.0,0.9713622291021672,9326.58556485176
12,PacificslopeFlycatcher,2,3,100,8,1.0,0.9674922600619195,8992.427322149277
13,PacificslopeFlycatcher,2,4,100,8,1.0,0.9930340557275541,8990.104398965836
14,PacificslopeFlycatcher,2,5,100,8,1.0,0.9527863777089783,9010.404762744904
15,PacificslopeFlycatcher,2,6,100,8,1.0,0.9455128205128205,9018.551058769226
16,PacificslopeFlycatcher,2,7,100,8,1.0,0.9294871794871794,9512.815887451172
17,PacificslopeFlycatcher,2,8,100,8,1.0,0.9839743589743589,8887.218934059143
18,PacificslopeFlycatcher,2,9,100,8,1.0,0.9259868421052632,9203.578608751297
19,PacificslopeFlycatcher,2,10,100,8,1.0,0.9769736842105263,9380.088163852692
20,PacificslopeFlycatcher,3,1,100,8,1.0,0.9280185758513931,9359.6435379982
21,PacificslopeFlycatcher,3,2,100,8,1.0,0.9024767801857585,8990.893299818039
22,PacificslopeFlycatcher,3,3,100,8,1.0,0.9063467492260062,9043.94744515419
23,PacificslopeFlycatcher,3,4,100,8,1.0,0.9682662538699691,9153.335387706757
24,PacificslopeFlycatcher,3,5,100,8,1.0,0.9891640866873065,8902.515632390976
25,PacificslopeFlycatcher,3,6,100,8,1.0,0.9807692307692308,9232.027137994766
26,PacificslopeFlycatcher,3,7,100,8,1.0,0.9663461538461539,9121.001227855682
27,PacificslopeFlycatcher,3,8,100,8,1.0,0.9831730769230769,9406.401412248611
28,PacificslopeFlycatcher,3,9,100,8,1.0,0.977796052631579,9174.12305521965
29,PacificslopeFlycatcher,3,10,100,8,1.0,0.984375,9046.82640171051
30,PacificslopeFlycatcher,4,1,100,8,1.0,0.9651702786377709,9483.4095454216
31,PacificslopeFlycatcher,4,2,100,8,1.0,0.9326625386996904,9268.3265542984
32,PacificslopeFlycatcher,4,3,100,8,1.0,0.9465944272445821,8845.872921228409
33,PacificslopeFlycatcher,4,4,100,8,1.0,0.923374613003096,9208.487038373947
34,PacificslopeFlycatcher,4,5,100,8,1.0,0.9605263157894737,9224.418892145157
35,PacificslopeFlycatcher,4,6,100,8,1.0,0.9591346153846154,9281.026873350143
36,PacificslopeFlycatcher,4,7,100,8,1.0,0.9767628205128205,9050.298611879349
37,PacificslopeFlycatcher,4,8,100,8,1.0,0.9543269230769231,9513.344741106033
38,PacificslopeFlycatcher,4,9,100,8,1.0,0.9786184210526315,9391.060522556305
39,PacificslopeFlycatcher,4,10,100,8,1.0,0.96875,8603.04424905777
40,PacificslopeFlycatcher,5,1,100,8,1.0,0.9009287925696594,8639.43278002739
41,PacificslopeFlycatcher,5,2,100,8,1.0,0.9636222910216717,8842.885673999786
42,PacificslopeFlycatcher,5,3,100,8,1.0,0.9845201238390092,9362.78373169899
43,PacificslopeFlycatcher,5,4,100,8,1.0,0.9527863777089782,8958.420385360718
44,PacificslopeFlycatcher,5,5,100,8,1.0,0.9674922600619195,9075.063086032867
45,PacificslopeFlycatcher,5,6,100,8,1.0,0.9887820512820512,9369.269116640091
46,PacificslopeFlycatcher,5,7,100,8,1.0,0.9326923076923077,8956.596130371094
47,PacificslopeFlycatcher,5,8,100,8,1.0,0.9767628205128205,8955.546823501587
48,PacificslopeFlycatcher,5,9,100,8,1.0,0.9514802631578948,9568.50249838829
49,PacificslopeFlycatcher,5,10,100,8,1.0,0.9629934210526316,8818.298811912537
