,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Protein,1,1,100,8,1.0,0.8823529411764706,4039.7932844161987
1,Protein,1,2,100,8,1.0,0.8529411764705882,4539.904379367828
2,Protein,1,3,100,8,1.0,1.0,4340.520087003708
3,Protein,1,4,100,8,1.0,0.6666666666666666,4334.796533584595
4,Protein,1,5,100,8,1.0,0.7604166666666666,4561.608056783676
5,Protein,1,6,100,8,1.0,1.0,4200.247200965881
6,Protein,1,7,100,8,1.0,0.7941176470588235,4420.204592704773
7,Protein,1,8,100,8,1.0,0.7794117647058824,4408.996357679367
8,Protein,1,9,100,8,1.0,1.0,4501.452785491943
9,Protein,1,10,100,8,1.0,0.8970588235294118,4700.625237941742
10,Protein,2,1,100,8,1.0,0.696078431372549,4515.524650096893
11,Protein,2,2,100,8,1.0,0.7254901960784313,4578.797296047211
12,Protein,2,3,100,8,1.0,0.9215686274509803,4246.221259355545
13,Protein,2,4,100,8,1.0,0.8958333333333334,4488.656066894531
14,Protein,2,5,100,8,1.0,0.5416666666666667,4301.42505979538
15,Protein,2,6,100,8,1.0,0.8676470588235294,4459.761194944382
16,Protein,2,7,100,8,1.0,0.8823529411764706,4488.386138916016
17,Protein,2,8,100,8,1.0,0.9117647058823529,4733.537407159805
18,Protein,2,9,100,8,1.0,0.6764705882352942,4549.086599826813
19,Protein,2,10,100,8,1.0,1.0,4694.340680837631
20,Protein,3,1,100,8,1.0,0.7745098039215685,4551.016508102417
21,Protein,3,2,100,8,1.0,0.9607843137254902,4571.464453220367
22,Protein,3,3,100,8,1.0,0.892156862745098,4634.237163543701
23,Protein,3,4,100,8,1.0,0.7916666666666666,4573.943857431412
24,Protein,3,5,100,8,1.0,0.7083333333333333,4289.564730644226
25,Protein,3,6,100,8,1.0,1.0,4661.787576198578
26,Protein,3,7,100,8,1.0,0.5882352941176471,4456.8365297317505
27,Protein,3,8,100,8,1.0,0.6176470588235294,4638.547463655472
28,Protein,3,9,100,8,1.0,0.9117647058823529,4660.799250602722
29,Protein,3,10,100,8,1.0,0.4264705882352941,4629.379376173019
30,Protein,4,1,100,8,1.0,0.5980392156862745,4248.834519863129
31,Protein,4,2,100,8,1.0,0.8137254901960784,4408.593621015549
32,Protein,4,3,100,8,1.0,0.9803921568627451,4564.821040868759
33,Protein,4,4,100,8,1.0,0.6979166666666666,4455.465505599976
34,Protein,4,5,100,8,1.0,0.71875,4522.762356042862
35,Protein,4,6,100,8,1.0,0.9705882352941176,4562.145313978195
36,Protein,4,7,100,8,1.0,0.926470588235294,4310.13972568512
37,Protein,4,8,100,8,1.0,0.8529411764705882,4621.007156610489
38,Protein,4,9,100,8,1.0,0.75,4658.884390830994
39,Protein,4,10,100,8,1.0,0.8529411764705882,4529.589735984802
40,Protein,5,1,100,8,1.0,0.6372549019607843,4515.630354642868
41,Protein,5,2,100,8,1.0,0.9705882352941176,4600.7418653965
42,Protein,5,3,100,8,1.0,0.8529411764705882,4535.409720897675
43,Protein,5,4,100,8,1.0,0.9479166666666666,4536.396041631699
44,Protein,5,5,100,8,1.0,0.7083333333333333,4568.48788356781
45,Protein,5,6,100,8,1.0,0.9411764705882353,4558.693912744522
46,Protein,5,7,100,8,1.0,0.7794117647058824,4704.207181930542
47,Protein,5,8,100,8,1.0,0.7058823529411765,4703.969358205795
48,Protein,5,9,100,8,1.0,0.7794117647058824,4647.336355924606
49,Protein,5,10,100,8,1.0,0.9705882352941176,4954.695245027542
