,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Red-breastedNuthatch,1,1,100,8,1.0,0.9927536231884059,9771.45931982994
1,Red-breastedNuthatch,1,2,100,8,1.0,0.9830917874396137,10070.951003789902
2,Red-breastedNuthatch,1,3,100,8,1.0,0.9787234042553192,10276.118882656097
3,Red-breastedNuthatch,1,4,100,8,1.0,1.0,10332.92948293686
4,Red-breastedNuthatch,1,5,100,8,1.0,0.9787234042553192,9847.801416873932
5,Red-breastedNuthatch,1,6,100,8,1.0,0.9787234042553192,10071.163209915161
6,Red-breastedNuthatch,1,7,100,8,1.0,0.9561170212765957,9588.617852449417
7,Red-breastedNuthatch,1,8,100,8,1.0,0.8989361702127658,9495.778587579727
8,Red-breastedNuthatch,1,9,100,8,1.0,0.9891304347826086,10167.297763347626
9,Red-breastedNuthatch,1,10,100,8,1.0,0.9782608695652173,10090.212316989899
10,Red-breastedNuthatch,2,1,100,8,1.0,0.9698067632850241,9245.117895841599
11,Red-breastedNuthatch,2,2,100,8,1.0,0.9879227053140096,9743.234869718552
12,Red-breastedNuthatch,2,3,100,8,1.0,0.9920212765957446,9963.10613656044
13,Red-breastedNuthatch,2,4,100,8,1.0,0.9787234042553191,10461.144857883453
14,Red-breastedNuthatch,2,5,100,8,1.0,0.9707446808510638,10392.719633817673
15,Red-breastedNuthatch,2,6,100,8,1.0,0.949468085106383,10061.17163491249
16,Red-breastedNuthatch,2,7,100,8,1.0,1.0,10386.47806930542
17,Red-breastedNuthatch,2,8,100,8,1.0,0.9534574468085106,10127.589877128601
18,Red-breastedNuthatch,2,9,100,8,1.0,0.9972826086956521,10239.053392887115
19,Red-breastedNuthatch,2,10,100,8,1.0,0.9918478260869565,9881.466596126556
20,Red-breastedNuthatch,3,1,100,8,1.0,0.9927536231884058,9732.319119930267
21,Red-breastedNuthatch,3,2,100,8,1.0,1.0,9851.434069156647
22,Red-breastedNuthatch,3,3,100,8,1.0,0.9734042553191489,10243.135803461075
23,Red-breastedNuthatch,3,4,100,8,1.0,0.978723404255319,10316.86694407463
24,Red-breastedNuthatch,3,5,100,8,1.0,0.9973404255319149,10290.542606115341
25,Red-breastedNuthatch,3,6,100,8,1.0,0.9827127659574468,10551.06921505928
26,Red-breastedNuthatch,3,7,100,8,1.0,0.9481382978723404,9698.837926626205
27,Red-breastedNuthatch,3,8,100,8,1.0,0.9946808510638298,10298.05306506157
28,Red-breastedNuthatch,3,9,100,8,1.0,0.9483695652173914,10120.064979553223
29,Red-breastedNuthatch,3,10,100,8,1.0,0.9483695652173912,10083.952252626419
30,Red-breastedNuthatch,4,1,100,8,1.0,0.9734299516908212,10000.381465673447
31,Red-breastedNuthatch,4,2,100,8,1.0,0.9927536231884058,10365.5255651474
32,Red-breastedNuthatch,4,3,100,8,1.0,0.9920212765957447,10142.499972343445
33,Red-breastedNuthatch,4,4,100,8,1.0,0.9627659574468086,10293.37936258316
34,Red-breastedNuthatch,4,5,100,8,1.0,0.976063829787234,9911.051519155502
35,Red-breastedNuthatch,4,6,100,8,1.0,0.9813829787234043,10243.191741228104
36,Red-breastedNuthatch,4,7,100,8,1.0,0.978723404255319,10589.514068841934
37,Red-breastedNuthatch,4,8,100,8,1.0,0.978723404255319,10170.887195825577
38,Red-breastedNuthatch,4,9,100,8,1.0,1.0,10466.622200250626
39,Red-breastedNuthatch,4,10,100,8,1.0,0.9592391304347827,10494.691345453262
40,Red-breastedNuthatch,5,1,100,8,1.0,1.0,10517.010859966278
41,Red-breastedNuthatch,5,2,100,8,1.0,0.9432367149758455,9910.299411535263
42,Red-breastedNuthatch,5,3,100,8,1.0,0.9773936170212766,10391.511317014694
43,Red-breastedNuthatch,5,4,100,8,1.0,1.0,10364.980126857758
44,Red-breastedNuthatch,5,5,100,8,1.0,0.9787234042553192,10140.545512199402
45,Red-breastedNuthatch,5,6,100,8,1.0,0.9494680851063829,9521.65249657631
46,Red-breastedNuthatch,5,7,100,8,1.0,0.9920212765957448,9939.414582252502
47,Red-breastedNuthatch,5,8,100,8,1.0,1.0,10281.47405219078
48,Red-breastedNuthatch,5,9,100,8,1.0,0.9375,10117.272629022598
49,Red-breastedNuthatch,5,10,100,8,1.0,0.9918478260869565,10405.344777107239
