,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,SwainsonsThrush,1,1,100,8,1.0,1.0,11975.727041959763
1,SwainsonsThrush,1,2,100,8,1.0,0.9973404255319149,12130.838168621063
2,SwainsonsThrush,1,3,100,8,1.0,0.9574468085106382,11593.892936944962
3,SwainsonsThrush,1,4,100,8,1.0,0.9946808510638298,11937.429153680801
4,SwainsonsThrush,1,5,100,8,1.0,0.9920212765957447,12012.703241586685
5,SwainsonsThrush,1,6,100,8,1.0,0.9867021276595745,12394.907469272614
6,SwainsonsThrush,1,7,100,8,1.0,0.9813829787234042,12015.489665031433
7,SwainsonsThrush,1,8,100,8,1.0,0.9920212765957447,11599.936299562454
8,SwainsonsThrush,1,9,100,8,1.0,0.9945652173913043,11841.820593357086
9,SwainsonsThrush,1,10,100,8,1.0,0.993920972644377,12382.553553581238
10,SwainsonsThrush,2,1,100,8,1.0,0.9893617021276595,12219.946144104004
11,SwainsonsThrush,2,2,100,8,1.0,0.9973404255319149,12117.623402357101
12,SwainsonsThrush,2,3,100,8,1.0,0.9973404255319148,11687.505563259125
13,SwainsonsThrush,2,4,100,8,1.0,0.9654255319148936,11689.2113301754
14,SwainsonsThrush,2,5,100,8,1.0,0.9667553191489361,11906.454190015793
15,SwainsonsThrush,2,6,100,8,1.0,0.9973404255319149,11583.309749126434
16,SwainsonsThrush,2,7,100,8,1.0,0.9840425531914894,11703.988158941269
17,SwainsonsThrush,2,8,100,8,1.0,1.0,11687.931076526642
18,SwainsonsThrush,2,9,100,8,1.0,0.9918478260869565,11904.920239448547
19,SwainsonsThrush,2,10,100,8,1.0,0.9772036474164134,11811.330968379974
20,SwainsonsThrush,3,1,100,8,1.0,1.0,11755.106251478195
21,SwainsonsThrush,3,2,100,8,1.0,0.9973404255319149,11868.086278676987
22,SwainsonsThrush,3,3,100,8,1.0,0.9960106382978723,11465.62087059021
23,SwainsonsThrush,3,4,100,8,1.0,0.9933510638297872,11695.454603433609
24,SwainsonsThrush,3,5,100,8,1.0,0.9827127659574468,11313.3138859272
25,SwainsonsThrush,3,6,100,8,1.0,1.0,11956.20163488388
26,SwainsonsThrush,3,7,100,8,1.0,0.9867021276595744,11901.456887245178
27,SwainsonsThrush,3,8,100,8,1.0,0.9720744680851064,11501.356609106064
28,SwainsonsThrush,3,9,100,8,1.0,1.0,11823.049964427948
29,SwainsonsThrush,3,10,100,8,1.0,0.9817629179331308,12024.163372278214
30,SwainsonsThrush,4,1,100,8,1.0,0.9973404255319149,12145.063439130783
31,SwainsonsThrush,4,2,100,8,1.0,0.9867021276595745,12046.491022825241
32,SwainsonsThrush,4,3,100,8,1.0,0.9920212765957448,11841.483997106552
33,SwainsonsThrush,4,4,100,8,1.0,0.9813829787234043,11841.104928255081
34,SwainsonsThrush,4,5,100,8,1.0,0.9840425531914894,11695.198912620544
35,SwainsonsThrush,4,6,100,8,1.0,1.0,11878.033489704132
36,SwainsonsThrush,4,7,100,8,1.0,0.9920212765957447,11935.910053491592
37,SwainsonsThrush,4,8,100,8,1.0,0.9627659574468086,11638.67425441742
38,SwainsonsThrush,4,9,100,8,1.0,0.986413043478261,11976.755306959152
39,SwainsonsThrush,4,10,100,8,1.0,0.9969604863221885,11921.11186504364
40,SwainsonsThrush,5,1,100,8,1.0,0.9760638297872342,12150.02604007721
41,SwainsonsThrush,5,2,100,8,1.0,1.0,12466.022914648056
42,SwainsonsThrush,5,3,100,8,1.0,0.9840425531914894,11786.924590110779
43,SwainsonsThrush,5,4,100,8,1.0,0.9960106382978724,12166.472741127014
44,SwainsonsThrush,5,5,100,8,1.0,1.0,12505.932770729065
45,SwainsonsThrush,5,6,100,8,1.0,0.9893617021276595,12232.017715215683
46,SwainsonsThrush,5,7,100,8,1.0,0.9960106382978723,12059.213422775269
47,SwainsonsThrush,5,8,100,8,1.0,0.9893617021276596,11870.47662115097
48,SwainsonsThrush,5,9,100,8,1.0,1.0,11724.44194149971
49,SwainsonsThrush,5,10,100,8,1.0,0.9604863221884499,11793.039975881577
