,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Tiger,1,1,100,8,1.0,0.8700000000000001,5367.049124002457
1,Tiger,1,2,100,8,1.0,0.81,5250.127978086472
2,Tiger,1,3,100,8,1.0,0.8800000000000001,5380.216508388519
3,Tiger,1,4,100,8,1.0,0.8400000000000001,5329.1283123493195
4,Tiger,1,5,100,8,1.0,0.9850000000000001,5099.405199050903
5,Tiger,1,6,100,8,1.0,0.885,5508.882146596909
6,Tiger,1,7,100,8,1.0,0.8700000000000001,5375.387352705002
7,Tiger,1,8,100,8,1.0,0.975,5337.379369974136
8,Tiger,1,9,100,8,1.0,0.755,5217.247784852982
9,Tiger,1,10,100,8,1.0,0.885,5223.095231056213
10,Tiger,2,1,100,8,1.0,0.845,5281.013894557953
11,Tiger,2,2,100,8,1.0,0.9099999999999999,5153.53203701973
12,Tiger,2,3,100,8,1.0,0.7150000000000001,5054.82289814949
13,Tiger,2,4,100,8,1.0,0.9800000000000001,5345.165537595749
14,Tiger,2,5,100,8,1.0,0.9299999999999999,5331.4765956401825
15,Tiger,2,6,100,8,1.0,0.9650000000000001,5268.297109603882
16,Tiger,2,7,100,8,1.0,0.8,5295.736425638199
17,Tiger,2,8,100,8,1.0,0.9500000000000001,5290.966726541519
18,Tiger,2,9,100,8,1.0,0.8500000000000001,5295.447469949722
19,Tiger,2,10,100,8,1.0,0.815,5160.259753704071
20,Tiger,3,1,100,8,1.0,0.835,5206.621648788452
21,Tiger,3,2,100,8,1.0,0.8550000000000001,5302.642208814621
22,Tiger,3,3,100,8,1.0,0.89,5597.293248176575
23,Tiger,3,4,100,8,1.0,0.865,5163.329083681107
24,Tiger,3,5,100,8,1.0,0.9450000000000001,5187.319207668304
25,Tiger,3,6,100,8,1.0,0.74,5241.066699028015
26,Tiger,3,7,100,8,1.0,0.74,5271.497049808502
27,Tiger,3,8,100,8,1.0,0.9049999999999999,5464.618314027786
28,Tiger,3,9,100,8,1.0,0.69,5028.840670347214
29,Tiger,3,10,100,8,1.0,0.8900000000000001,5326.089919567108
30,Tiger,4,1,100,8,1.0,0.81,5515.605799436569
31,Tiger,4,2,100,8,1.0,0.8750000000000001,5503.235748052597
32,Tiger,4,3,100,8,1.0,0.92,5661.094976186752
33,Tiger,4,4,100,8,1.0,0.9,5222.781172037125
34,Tiger,4,5,100,8,1.0,0.9400000000000001,5232.4273200035095
35,Tiger,4,6,100,8,1.0,0.9400000000000001,5300.415411472321
36,Tiger,4,7,100,8,1.0,0.835,5253.349211215973
37,Tiger,4,8,100,8,1.0,0.78,5244.705154418945
38,Tiger,4,9,100,8,1.0,0.9199999999999999,5171.3761649131775
39,Tiger,4,10,100,8,1.0,0.6950000000000001,5152.751736879349
40,Tiger,5,1,100,8,1.0,0.9550000000000001,5207.329222202301
41,Tiger,5,2,100,8,1.0,0.89,5231.188847780228
42,Tiger,5,3,100,8,1.0,0.78,5086.171179056168
43,Tiger,5,4,100,8,1.0,0.9000000000000001,5309.48553943634
44,Tiger,5,5,100,8,1.0,0.985,5335.309434890747
45,Tiger,5,6,100,8,1.0,0.84,5585.336531877518
46,Tiger,5,7,100,8,1.0,0.73,5357.867329835892
47,Tiger,5,8,100,8,1.0,0.97,5513.987789154053
48,Tiger,5,9,100,8,1.0,0.79,5499.129512310028
49,Tiger,5,10,100,8,1.0,0.74,5322.954389333725
