,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,UCSBBreastCancer,1,1,100,16,0.75,1.0,1056.5865528583527
1,UCSBBreastCancer,1,2,100,16,0.75,0.888888888888889,1038.6206028461456
2,UCSBBreastCancer,1,3,100,16,0.75,1.0,1072.3790218830109
3,UCSBBreastCancer,1,4,100,16,0.75,0.4444444444444445,996.2921540737152
4,UCSBBreastCancer,1,5,100,16,0.75,1.0,1097.0052003860474
5,UCSBBreastCancer,1,6,100,16,0.75,1.0,1111.4567782878876
6,UCSBBreastCancer,1,7,100,16,0.75,1.0,1097.7223505973816
7,UCSBBreastCancer,1,8,100,16,0.75,0.75,1094.764298915863
8,UCSBBreastCancer,1,9,100,16,0.75,0.33333333333333337,1064.7436480522156
9,UCSBBreastCancer,1,10,100,16,0.75,1.0,1106.8101601600647
10,UCSBBreastCancer,2,1,100,16,0.75,0.6666666666666667,1037.1778771877289
11,UCSBBreastCancer,2,2,100,16,0.75,0.7777777777777779,1038.7789776325226
12,UCSBBreastCancer,2,3,100,16,0.75,0.7777777777777778,992.3450756072998
13,UCSBBreastCancer,2,4,100,16,0.75,0.6666666666666667,1050.1835865974426
14,UCSBBreastCancer,2,5,100,16,0.75,1.0,1046.5535576343536
15,UCSBBreastCancer,2,6,100,16,0.75,1.0,1103.6474697589874
16,UCSBBreastCancer,2,7,100,16,0.75,0.75,1141.725709438324
17,UCSBBreastCancer,2,8,100,16,0.75,0.75,1078.0181109905243
18,UCSBBreastCancer,2,9,100,16,0.75,1.0,1133.2659435272217
19,UCSBBreastCancer,2,10,100,16,0.75,0.5,1081.7981097698212
20,UCSBBreastCancer,3,1,100,16,0.75,0.7777777777777778,1083.992304801941
21,UCSBBreastCancer,3,2,100,16,0.75,0.7777777777777779,1049.0328750610352
22,UCSBBreastCancer,3,3,100,16,0.75,0.7777777777777778,1013.841979265213
23,UCSBBreastCancer,3,4,100,16,0.75,0.6666666666666667,1025.6887283325195
24,UCSBBreastCancer,3,5,100,16,0.75,0.7777777777777779,1102.367314338684
25,UCSBBreastCancer,3,6,100,16,0.75,1.0,1100.347448348999
26,UCSBBreastCancer,3,7,100,16,0.75,1.0,1131.1840534210205
27,UCSBBreastCancer,3,8,100,16,0.75,1.0,1089.9251511096954
28,UCSBBreastCancer,3,9,100,16,0.75,1.0,1107.0924236774445
29,UCSBBreastCancer,3,10,100,16,0.75,0.6666666666666667,1066.933435201645
30,UCSBBreastCancer,4,1,100,16,0.75,0.7777777777777779,1061.1914920806885
31,UCSBBreastCancer,4,2,100,16,0.75,0.6666666666666666,1047.951387166977
32,UCSBBreastCancer,4,3,100,16,0.75,1.0,1066.1529693603516
33,UCSBBreastCancer,4,4,100,16,0.75,1.0,1069.5790703296661
34,UCSBBreastCancer,4,5,100,16,0.75,0.4444444444444445,1043.9373128414154
35,UCSBBreastCancer,4,6,100,16,0.75,1.0,1046.0441915988922
36,UCSBBreastCancer,4,7,100,16,0.75,1.0,1046.31645321846
37,UCSBBreastCancer,4,8,100,16,0.75,1.0,1103.911508321762
38,UCSBBreastCancer,4,9,100,16,0.75,0.6666666666666667,1033.101657152176
39,UCSBBreastCancer,4,10,100,16,0.75,0.8333333333333334,1097.343153476715
40,UCSBBreastCancer,5,1,100,16,0.75,0.4444444444444445,1023.4424662590027
41,UCSBBreastCancer,5,2,100,16,0.75,0.8333333333333334,1041.5278539657593
42,UCSBBreastCancer,5,3,100,16,0.75,1.0,1062.1660690307617
43,UCSBBreastCancer,5,4,100,16,0.75,0.6666666666666667,1045.8858153820038
44,UCSBBreastCancer,5,5,100,16,0.75,1.0,1071.2150356769562
45,UCSBBreastCancer,5,6,100,16,0.75,0.9444444444444444,1091.7154989242554
46,UCSBBreastCancer,5,7,100,16,0.75,0.375,998.0974354743958
47,UCSBBreastCancer,5,8,100,16,0.75,1.0,1108.1030178070068
48,UCSBBreastCancer,5,9,100,16,0.75,1.0,1113.7297909259796
49,UCSBBreastCancer,5,10,100,16,0.75,0.8333333333333334,1067.7152307033539
