,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,VariedThrush,1,1,100,8,1.0,0.9975845410628019,9726.960668325424
1,VariedThrush,1,2,100,8,1.0,1.0,9624.02364063263
2,VariedThrush,1,3,100,8,1.0,0.9927536231884058,9710.402044296265
3,VariedThrush,1,4,100,8,1.0,1.0,9975.870113372803
4,VariedThrush,1,5,100,8,1.0,1.0,10107.956273078918
5,VariedThrush,1,6,100,8,1.0,1.0,9883.965494155884
6,VariedThrush,1,7,100,8,1.0,1.0,10042.391401290894
7,VariedThrush,1,8,100,8,1.0,0.9951690821256038,10173.572705745697
8,VariedThrush,1,9,100,8,1.0,1.0,10164.236516714096
9,VariedThrush,1,10,100,8,1.0,1.0,9614.794871330261
10,VariedThrush,2,1,100,8,1.0,1.0,9474.219492435455
11,VariedThrush,2,2,100,8,1.0,0.9999999999999999,9859.962446451187
12,VariedThrush,2,3,100,8,1.0,1.0,9979.665436983109
13,VariedThrush,2,4,100,8,1.0,0.9975845410628019,9630.141476154327
14,VariedThrush,2,5,100,8,1.0,1.0,9799.35987830162
15,VariedThrush,2,6,100,8,1.0,1.0,9734.481669187546
16,VariedThrush,2,7,100,8,1.0,1.0,9785.493089437485
17,VariedThrush,2,8,100,8,1.0,1.0,9495.87083363533
18,VariedThrush,2,9,100,8,1.0,1.0,9824.040505170822
19,VariedThrush,2,10,100,8,1.0,0.9972826086956522,10232.862046480179
20,VariedThrush,3,1,100,8,1.0,1.0,9878.22659945488
21,VariedThrush,3,2,100,8,1.0,1.0,9745.074368476868
22,VariedThrush,3,3,100,8,1.0,1.0,9745.563755512238
23,VariedThrush,3,4,100,8,1.0,0.9963768115942029,9291.02124428749
24,VariedThrush,3,5,100,8,1.0,1.0,9951.151827335358
25,VariedThrush,3,6,100,8,1.0,1.0,9498.131872653961
26,VariedThrush,3,7,100,8,1.0,0.9999999999999999,9351.789427280426
27,VariedThrush,3,8,100,8,1.0,1.0,9677.756238222122
28,VariedThrush,3,9,100,8,1.0,0.9950617283950617,9587.413145542145
29,VariedThrush,3,10,100,8,1.0,1.0,10342.671446561813
30,VariedThrush,4,1,100,8,1.0,1.0,9137.430782794952
31,VariedThrush,4,2,100,8,1.0,1.0,9761.76285982132
32,VariedThrush,4,3,100,8,1.0,1.0,10020.623930931091
33,VariedThrush,4,4,100,8,1.0,1.0,9941.656339883804
34,VariedThrush,4,5,100,8,1.0,0.998792270531401,9640.304948091507
35,VariedThrush,4,6,100,8,1.0,1.0,9709.306941986084
36,VariedThrush,4,7,100,8,1.0,1.0,9842.195857524872
37,VariedThrush,4,8,100,8,1.0,0.9939613526570048,9240.550585269928
38,VariedThrush,4,9,100,8,1.0,0.9950617283950618,9910.217086791992
39,VariedThrush,4,10,100,8,1.0,0.9904891304347826,9929.506826400757
40,VariedThrush,5,1,100,8,1.0,1.0,9697.553919315338
41,VariedThrush,5,2,100,8,1.0,1.0,9639.546875715256
42,VariedThrush,5,3,100,8,1.0,1.0,9847.813524484634
43,VariedThrush,5,4,100,8,1.0,1.0,10093.042182207108
44,VariedThrush,5,5,100,8,1.0,1.0,9263.347698450089
45,VariedThrush,5,6,100,8,1.0,0.998792270531401,9500.436463356018
46,VariedThrush,5,7,100,8,1.0,0.9830917874396135,9044.048001527786
47,VariedThrush,5,8,100,8,1.0,1.0,9697.774636268616
48,VariedThrush,5,9,100,8,1.0,1.0,10053.12203836441
49,VariedThrush,5,10,100,8,1.0,1.0,9879.803592920303
