,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Web6,1,1,100,12,0.8,0.41666666666666663,614.7074308395386
1,Web6,1,2,100,12,0.8,0.7916666666666666,618.1829445362091
2,Web6,1,3,100,12,0.8,0.8333333333333334,600.6825382709503
3,Web6,1,4,100,12,0.8,0.3333333333333333,567.0914530754089
4,Web6,1,5,100,12,0.8,0.08333333333333333,544.0407381057739
5,Web6,1,6,100,12,0.8,0.5,595.210896730423
6,Web6,1,7,100,12,0.8,0.8333333333333334,568.0448698997498
7,Web6,1,8,100,12,0.8,0.5,560.0577449798584
8,Web6,1,9,100,12,0.8,0.3333333333333333,622.9020323753357
9,Web6,1,10,100,12,0.8,1.0,611.0602133274078
10,Web6,2,1,100,12,0.8,0.7083333333333333,585.2497973442078
11,Web6,2,2,100,12,0.8,0.29166666666666663,575.2293105125427
12,Web6,2,3,100,12,0.8,0.5,530.7441935539246
13,Web6,2,4,100,12,0.8,0.8333333333333333,658.5872633457184
14,Web6,2,5,100,12,0.8,0.5,556.4375810623169
15,Web6,2,6,100,12,0.8,0.8333333333333334,705.8995912075043
16,Web6,2,7,100,12,0.8,0.3333333333333333,770.0052976608276
17,Web6,2,8,100,12,0.8,0.3333333333333333,809.7169709205627
18,Web6,2,9,100,12,0.8,0.8333333333333334,689.0603079795837
19,Web6,2,10,100,12,0.8,0.5,674.1167502403259
20,Web6,3,1,100,12,0.8,0.8333333333333333,682.6868762969971
21,Web6,3,2,100,12,0.8,0.45833333333333337,622.2110126018524
22,Web6,3,3,100,12,0.8,0.8333333333333333,644.3397750854492
23,Web6,3,4,100,12,0.8,0.5416666666666667,652.3580303192139
24,Web6,3,5,100,12,0.8,0.75,687.7018196582794
25,Web6,3,6,100,12,0.8,0.8333333333333334,651.8708648681641
26,Web6,3,7,100,12,0.8,1.0,763.6461589336395
27,Web6,3,8,100,12,0.8,0.16666666666666666,625.5188822746277
28,Web6,3,9,100,12,0.8,0.3333333333333333,704.1099841594696
29,Web6,3,10,100,12,0.8,0.5,673.5955293178558
30,Web6,4,1,100,12,0.8,0.375,603.5634405612946
31,Web6,4,2,100,12,0.8,0.3333333333333333,731.7020258903503
32,Web6,4,3,100,12,0.8,0.375,574.8630847930908
33,Web6,4,4,100,12,0.8,0.6666666666666667,657.8253848552704
34,Web6,4,5,100,12,0.8,0.2916666666666667,670.0513052940369
35,Web6,4,6,100,12,0.8,1.0,602.0243735313416
36,Web6,4,7,100,12,0.8,1.0,742.511860370636
37,Web6,4,8,100,12,0.8,0.6666666666666666,583.4794654846191
38,Web6,4,9,100,12,0.8,0.5,580.7984700202942
39,Web6,4,10,100,12,0.8,0.9,683.0922405719757
40,Web6,5,1,100,12,0.8,0.25,622.7933149337769
41,Web6,5,2,100,12,0.8,0.29166666666666663,684.1203701496124
42,Web6,5,3,100,12,0.8,1.0,698.7117960453033
43,Web6,5,4,100,12,0.8,0.5416666666666666,578.9863703250885
44,Web6,5,5,100,12,0.8,0.4583333333333333,556.8995306491852
45,Web6,5,6,100,12,0.8,0.6666666666666666,684.9470500946045
46,Web6,5,7,100,12,0.8,0.6666666666666666,620.7841594219208
47,Web6,5,8,100,12,0.8,0.16666666666666666,599.6823577880859
48,Web6,5,9,100,12,0.8,0.0,693.6091043949127
49,Web6,5,10,100,12,0.8,0.65,602.1683216094971
