,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,WesternTanager,1,1,100,8,1.0,0.9800000000000001,6432.880364179611
1,WesternTanager,1,2,100,8,1.0,0.9880000000000001,5546.4805517196655
2,WesternTanager,1,3,100,8,1.0,1.0,5832.702445983887
3,WesternTanager,1,4,100,8,1.0,0.952,5756.47958445549
4,WesternTanager,1,5,100,8,1.0,0.992,5476.133334159851
5,WesternTanager,1,6,100,8,1.0,1.0,5719.354362487793
6,WesternTanager,1,7,100,8,1.0,0.9436274509803921,5348.597075462341
7,WesternTanager,1,8,100,8,1.0,0.9950980392156863,6010.067601442337
8,WesternTanager,1,9,100,8,1.0,0.99,5853.407148838043
9,WesternTanager,1,10,100,8,1.0,0.99,5578.50403380394
10,WesternTanager,2,1,100,8,1.0,0.9900000000000001,5852.733649015427
11,WesternTanager,2,2,100,8,1.0,0.9560000000000001,5102.77272605896
12,WesternTanager,2,3,100,8,1.0,1.0,5812.317730426788
13,WesternTanager,2,4,100,8,1.0,0.9480000000000001,5408.610543727875
14,WesternTanager,2,5,100,8,1.0,0.99,5572.823294878006
15,WesternTanager,2,6,100,8,1.0,0.976,5494.787617683411
16,WesternTanager,2,7,100,8,1.0,1.0,5750.203872919083
17,WesternTanager,2,8,100,8,1.0,0.9754901960784313,5907.913597345352
18,WesternTanager,2,9,100,8,1.0,0.975,5922.307863235474
19,WesternTanager,2,10,100,8,1.0,0.99,5940.5089321136475
20,WesternTanager,3,1,100,8,1.0,0.988,5980.02196931839
21,WesternTanager,3,2,100,8,1.0,0.982,5567.634178161621
22,WesternTanager,3,3,100,8,1.0,0.996,5735.7789924144745
23,WesternTanager,3,4,100,8,1.0,0.99,5997.1968104839325
24,WesternTanager,3,5,100,8,1.0,0.996,5890.539313554764
25,WesternTanager,3,6,100,8,1.0,0.972,6109.174081802368
26,WesternTanager,3,7,100,8,1.0,0.9803921568627451,5583.09947681427
27,WesternTanager,3,8,100,8,1.0,0.9803921568627452,5379.435725450516
28,WesternTanager,3,9,100,8,1.0,0.9475,5514.415941476822
29,WesternTanager,3,10,100,8,1.0,0.98,5746.248440504074
30,WesternTanager,4,1,100,8,1.0,0.96,5603.444572925568
31,WesternTanager,4,2,100,8,1.0,1.0,6368.412052154541
32,WesternTanager,4,3,100,8,1.0,0.908,5810.340152978897
33,WesternTanager,4,4,100,8,1.0,1.0,6071.826016902924
34,WesternTanager,4,5,100,8,1.0,1.0,5480.577420473099
35,WesternTanager,4,6,100,8,1.0,0.992,5643.58699965477
36,WesternTanager,4,7,100,8,1.0,1.0,5764.975726604462
37,WesternTanager,4,8,100,8,1.0,1.0,5583.936709403992
38,WesternTanager,4,9,100,8,1.0,0.93,5676.782425403595
39,WesternTanager,4,10,100,8,1.0,0.97,5836.053458452225
40,WesternTanager,5,1,100,8,1.0,0.9560000000000001,5311.960878133774
41,WesternTanager,5,2,100,8,1.0,0.976,5426.307579278946
42,WesternTanager,5,3,100,8,1.0,0.984,5869.162259340286
43,WesternTanager,5,4,100,8,1.0,0.9920000000000001,5899.93049788475
44,WesternTanager,5,5,100,8,1.0,1.0,5950.104936122894
45,WesternTanager,5,6,100,8,1.0,1.0,5273.840894460678
46,WesternTanager,5,7,100,8,1.0,0.9656862745098039,5583.152448892593
47,WesternTanager,5,8,100,8,1.0,0.9681372549019609,5552.352318525314
48,WesternTanager,5,9,100,8,1.0,0.9975,5497.919339895248
49,WesternTanager,5,10,100,8,1.0,0.9874999999999999,5866.15246462822
