,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,WinterWren,1,1,100,8,1.0,0.9979338842975206,12370.395474672318
1,WinterWren,1,2,100,8,1.0,1.0,12470.111043214798
2,WinterWren,1,3,100,8,1.0,0.996900826446281,13013.24267911911
3,WinterWren,1,4,100,8,1.0,0.9917355371900827,12606.285039424896
4,WinterWren,1,5,100,8,1.0,0.9979338842975205,12859.832924127579
5,WinterWren,1,6,100,8,1.0,1.0,12690.892314195633
6,WinterWren,1,7,100,8,1.0,0.9886363636363636,12506.76860499382
7,WinterWren,1,8,100,8,1.0,0.993801652892562,12853.07234120369
8,WinterWren,1,9,100,8,1.0,0.9957716701902749,12489.203534841537
9,WinterWren,1,10,100,8,1.0,0.9977272727272727,12580.618292331696
10,WinterWren,2,1,100,8,1.0,0.993801652892562,12151.03690624237
11,WinterWren,2,2,100,8,1.0,0.9958677685950413,12667.774366855621
12,WinterWren,2,3,100,8,1.0,0.9958677685950413,12690.289973020554
13,WinterWren,2,4,100,8,1.0,0.9989669421487603,12460.621006250381
14,WinterWren,2,5,100,8,1.0,1.0,12610.146195173264
15,WinterWren,2,6,100,8,1.0,0.9958677685950413,12029.064222812653
16,WinterWren,2,7,100,8,1.0,0.9958677685950412,12129.541341304779
17,WinterWren,2,8,100,8,1.0,0.9979338842975206,11999.253817081451
18,WinterWren,2,9,100,8,1.0,0.9978858350951375,12534.486793756485
19,WinterWren,2,10,100,8,1.0,0.9977272727272727,12453.327790260315
20,WinterWren,3,1,100,8,1.0,0.9886363636363636,12773.763357877731
21,WinterWren,3,2,100,8,1.0,0.9958677685950412,12325.048609256744
22,WinterWren,3,3,100,8,1.0,0.9917355371900827,12596.224867343903
23,WinterWren,3,4,100,8,1.0,0.9938016528925621,12121.360216140747
24,WinterWren,3,5,100,8,1.0,0.987603305785124,12247.546046495438
25,WinterWren,3,6,100,8,1.0,0.9979338842975206,12182.112016439438
26,WinterWren,3,7,100,8,1.0,1.0,12618.134120941162
27,WinterWren,3,8,100,8,1.0,0.9979338842975207,12597.828788995743
28,WinterWren,3,9,100,8,1.0,0.9957716701902748,12279.508859157562
29,WinterWren,3,10,100,8,1.0,1.0,12311.475419282913
30,WinterWren,4,1,100,8,1.0,1.0,13067.905493497849
31,WinterWren,4,2,100,8,1.0,0.9824380165289256,11254.07422208786
32,WinterWren,4,3,100,8,1.0,1.0,11742.5565097332
33,WinterWren,4,4,100,8,1.0,0.9917355371900827,11089.41616821289
34,WinterWren,4,5,100,8,1.0,0.9876033057851239,11178.973257303238
35,WinterWren,4,6,100,8,1.0,0.9927685950413223,11029.482788324356
36,WinterWren,4,7,100,8,1.0,1.0,11146.846102714539
37,WinterWren,4,8,100,8,1.0,1.0,11444.943742990494
38,WinterWren,4,9,100,8,1.0,0.9978858350951375,11501.109777450562
39,WinterWren,4,10,100,8,1.0,1.0,11061.160423278809
40,WinterWren,5,1,100,8,1.0,1.0,11393.461059570312
41,WinterWren,5,2,100,8,1.0,1.0,11400.428169965744
42,WinterWren,5,3,100,8,1.0,0.981404958677686,11505.935682296753
43,WinterWren,5,4,100,8,1.0,0.9896694214876033,11796.454305887222
44,WinterWren,5,5,100,8,1.0,1.0,11763.274662971497
45,WinterWren,5,6,100,8,1.0,0.9886363636363636,11406.603857517242
46,WinterWren,5,7,100,8,1.0,1.0,11572.75472187996
47,WinterWren,5,8,100,8,1.0,1.0,11517.981505393982
48,WinterWren,5,9,100,8,1.0,0.9915433403805497,11422.825941085815
49,WinterWren,5,10,100,8,1.0,0.9840909090909091,11302.007925748825
